Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,113500.0,114500.0,112000.0,113000.0,86200,109881.13
2010-01-05,114000.0,114000.0,108000.0,108000.0,179300,105019.13
2010-01-06,108000.0,110000.0,105000.0,105500.0,199300,102588.13
2010-01-07,106000.0,110500.0,104000.0,106000.0,467500,103074.33
2010-01-08,108000.0,108500.0,101500.0,103500.0,228800,100643.33
2010-01-11,103000.0,105000.0,102000.0,103500.0,111600,100643.33
2010-01-12,105000.0,106500.0,103500.0,105500.0,153100,102588.13
2010-01-13,105500.0,106500.0,101000.0,102500.0,119100,99670.93
2010-01-14,103000.0,104500.0,102000.0,103000.0,138500,100157.13
2010-01-15,104500.0,105500.0,102000.0,102500.0,98000,99670.93
2010-01-18,102000.0,102500.0,99800.0,101000.0,166000,98212.33
2010-01-19,102000.0,107000.0,101500.0,106500.0,295400,103560.53
2010-01-20,106500.0,107500.0,105000.0,105500.0,138100,102588.13
2010-01-21,105500.0,106000.0,103000.0,104000.0,108100,101129.53
2010-01-22,103000.0,103500.0,101000.0,101500.0,133700,98698.53
2010-01-25,99300.0,104500.0,99300.0,103000.0,103200,100157.13
2010-01-26,103000.0,103500.0,99700.0,99900.0,165400,97142.7
2010-01-27,101500.0,105000.0,100000.0,104500.0,133700,101615.73
2010-01-28,104500.0,104500.0,100500.0,102000.0,154000,99184.73
2010-01-29,100500.0,103000.0,100000.0,101500.0,101600,98698.53
2010-02-01,101500.0,102000.0,100000.0,100000.0,82800,97239.94
2010-02-02,101000.0,101000.0,96100.0,96100.0,156600,93447.58
2010-02-03,97600.0,99200.0,97200.0,97200.0,72000,94517.22
2010-02-04,98500.0,99000.0,97100.0,98200.0,73700,95489.62
2010-02-05,96000.0,96000.0,93700.0,94200.0,172500,91600.02
2010-02-08,94400.0,95200.0,93200.0,93200.0,61800,90627.62
2010-02-09,93200.0,98500.0,93100.0,97500.0,102300,94808.94
2010-02-10,97600.0,99700.0,96800.0,98800.0,148000,96073.06
2010-02-11,98800.0,98800.0,96100.0,96100.0,138200,93447.58
2010-02-12,96900.0,97200.0,93600.0,94200.0,210300,91600.02
2010-02-16,94000.0,95600.0,93700.0,94200.0,68500,91600.02
2010-02-17,95300.0,98000.0,94800.0,96900.0,123300,94225.5
2010-02-18,96500.0,100000.0,96500.0,99800.0,104300,97045.46
2010-02-19,99500.0,101000.0,98500.0,98600.0,65100,95878.58
2010-02-22,99700.0,101000.0,98100.0,99600.0,79100,96850.98
2010-02-23,99000.0,100000.0,98100.0,99300.0,109100,96559.26
2010-02-24,98600.0,99400.0,98300.0,99100.0,47900,96364.78
2010-02-25,98500.0,99700.0,98500.0,98900.0,81800,96170.3
2010-02-26,98300.0,99500.0,98100.0,99500.0,47900,96753.74
2010-03-02,100000.0,100500.0,99200.0,100500.0,54700,97726.14
2010-03-03,99500.0,102000.0,99500.0,100500.0,74900,97726.14
2010-03-04,101000.0,102000.0,100500.0,102000.0,44200,99184.73
2010-03-05,102500.0,103000.0,101000.0,102000.0,99800,99184.73
2010-03-08,103000.0,106000.0,103000.0,105500.0,191500,102588.13
2010-03-09,105500.0,106500.0,104000.0,105500.0,75500,102588.13
2010-03-10,105500.0,105500.0,103500.0,104000.0,54800,101129.53
2010-03-11,104000.0,105000.0,101500.0,102500.0,76200,99670.93
2010-03-12,102500.0,104000.0,102500.0,104000.0,29200,101129.53
2010-03-15,105000.0,107000.0,102000.0,103000.0,52100,100157.13
2010-03-16,104000.0,105000.0,102500.0,103000.0,85900,100157.13
2010-03-17,104500.0,105500.0,103500.0,105000.0,88100,102101.93
2010-03-18,104500.0,105500.0,103500.0,105500.0,60200,102588.13
2010-03-19,106500.0,108000.0,106000.0,107500.0,103200,104532.93
2010-03-22,108500.0,109000.0,105000.0,105500.0,114500,102588.13
2010-03-23,106000.0,107000.0,105000.0,105000.0,58400,102101.93
2010-03-24,105000.0,106500.0,104500.0,105500.0,47700,102588.13
2010-03-25,106000.0,106500.0,105000.0,105500.0,52400,102588.13
2010-03-26,105000.0,107500.0,104500.0,107000.0,117000,104046.73
2010-03-29,108000.0,108000.0,105000.0,107000.0,69300,104046.73
2010-03-30,107000.0,107500.0,105000.0,106000.0,86300,103074.33
2010-03-31,106000.0,106000.0,102000.0,103500.0,99000,100643.33
2010-04-01,103000.0,105500.0,102500.0,104000.0,62600,101129.53
2010-04-02,104500.0,104500.0,103000.0,104000.0,53800,101129.53
2010-04-05,103500.0,105000.0,103000.0,105000.0,50600,102101.93
2010-04-06,105500.0,106500.0,104500.0,106500.0,59500,103560.53
2010-04-07,106000.0,107000.0,105500.0,105500.0,61000,102588.13
2010-04-08,104500.0,105500.0,102500.0,105000.0,113000,102101.93
2010-04-09,103500.0,104000.0,101000.0,102000.0,93000,99184.73
2010-04-12,102000.0,103000.0,101000.0,102500.0,59700,99670.93
2010-04-13,102000.0,103000.0,101500.0,102500.0,29300,99670.93
2010-04-14,102500.0,103500.0,101500.0,103500.0,66000,100643.33
2010-04-15,103000.0,104000.0,102500.0,103000.0,92900,100157.13
2010-04-16,104000.0,106000.0,102500.0,104000.0,96600,101129.53
