,Stock_Cd,Date,Open,High,Low,Close,Volume,Adj Close
0,035720,20160725,93100.00,93200.00,92100.00,92200.00,171341,0
1,035720,20160722,92700.00,94100.00,92700.00,92700.00,186586,0
2,035720,20160721,94100.00,94300.00,92700.00,92700.00,181204,0
3,035720,20160720,93600.00,94600.00,93300.00,93500.00,127396,0
4,035720,20160719,93000.00,93900.00,93000.00,93500.00,129586,0
5,035720,20160718,94300.00,94500.00,93100.00,93200.00,194903,0
6,035720,20160715,95000.00,95400.00,94300.00,94300.00,196276,0
7,035720,20160714,95000.00,95000.00,94000.00,94800.00,146903,0
8,035720,20160713,96000.00,96200.00,94200.00,94500.00,227655,0
9,035720,20160712,95100.00,95700.00,95000.00,95500.00,246459,0
10,035720,20160711,94200.00,95000.00,93600.00,95000.00,180903,0
11,035720,20160708,94000.00,94300.00,93400.00,93700.00,222693,0
12,035720,20160707,94800.00,95700.00,94700.00,95000.00,189813,0
13,035720,20160706,93800.00,94900.00,92600.00,94700.00,268206,0
14,035720,20160705,93600.00,94300.00,92900.00,93300.00,186412,0
15,035720,20160704,95200.00,95500.00,93700.00,93800.00,188530,0
16,035720,20160701,93600.00,95300.00,93500.00,94700.00,279366,0
17,035720,20160630,93100.00,93700.00,92700.00,93100.00,162894,0
18,035720,20160629,92200.00,93300.00,92200.00,92200.00,234525,0
19,035720,20160628,91000.00,92600.00,90900.00,91200.00,272948,0
20,035720,20160627,88700.00,91800.00,88700.00,91600.00,320538,0
21,035720,20160624,94500.00,94600.00,88300.00,91200.00,707033,0
22,035720,20160623,93800.00,94000.00,92900.00,93200.00,182448,0
23,035720,20160622,93300.00,94700.00,93300.00,94200.00,137669,0
24,035720,20160621,95200.00,95700.00,93600.00,93800.00,180609,0
25,035720,20160620,91500.00,94900.00,91500.00,94900.00,298887,0
26,035720,20160617,91700.00,92400.00,90700.00,91300.00,250469,0
27,035720,20160616,93000.00,93800.00,90900.00,91200.00,344770,0
28,035720,20160615,93900.00,94000.00,92800.00,92800.00,245352,0
29,035720,20160614,93000.00,95200.00,93000.00,94100.00,278317,0
30,035720,20160613,94200.00,94500.00,93500.00,93800.00,256101,0
31,035720,20160610,95500.00,96100.00,94600.00,94900.00,390162,0
32,035720,20160609,97400.00,97500.00,94400.00,95200.00,844241,0
33,035720,20160608,97400.00,98400.00,96900.00,97000.00,326341,0
34,035720,20160607,97900.00,98600.00,97100.00,98200.00,275022,0
35,035720,20160603,97000.00,98600.00,96900.00,98000.00,320178,0
36,035720,20160602,99000.00,99300.00,96300.00,97500.00,551263,0
37,035720,20160601,102900.00,103000.00,98100.00,98500.00,1003922,0
38,035720,20160531,102800.00,103500.00,102000.00,102800.00,329137,0
39,035720,20160530,101600.00,103500.00,101300.00,102800.00,318366,0
40,035720,20160527,100400.00,101200.00,99900.00,100600.00,148152,0
41,035720,20160526,99700.00,100300.00,98900.00,99700.00,183425,0
42,035720,20160525,99400.00,100500.00,99200.00,99600.00,227414,0
43,035720,20160524,100200.00,100700.00,99200.00,99200.00,170745,0
44,035720,20160523,100200.00,101700.00,100000.00,100200.00,169690,0
45,035720,20160520,99900.00,100500.00,98500.00,99300.00,320866,0
