Date,Open,High,Low,Close,Volume,Adj Close
20160726,91700.00,92900.00,91000.00,92100.00,121732,0
20160725,95100.00,96000.00,91700.00,91700.00,160791,0
20160722,94100.00,94200.00,93200.00,94000.00,87223,0
20160721,96400.00,96400.00,92800.00,93100.00,183405,0
20160720,94900.00,97600.00,93700.00,95300.00,421940,0
20160719,89400.00,93600.00,89400.00,93500.00,357832,0
20160718,87500.00,89300.00,85200.00,88800.00,267915,0
20160715,89900.00,90100.00,88100.00,88300.00,210196,0
20160714,91100.00,91300.00,89000.00,89500.00,249680,0
20160713,91700.00,92800.00,91100.00,91400.00,203906,0
20160712,92000.00,92600.00,90800.00,91600.00,143777,0
20160711,92900.00,93000.00,90600.00,91800.00,192773,0
20160708,92100.00,93500.00,91600.00,93100.00,185475,0
20160707,92500.00,93300.00,91500.00,92000.00,173240,0
20160706,95700.00,97000.00,91400.00,91700.00,420341,0
20160705,101000.00,102000.00,95500.00,95500.00,439160,0
20160704,102000.00,102500.00,101000.00,102000.00,49808,0
20160701,104000.00,104500.00,101500.00,101500.00,111270,0
20160630,104500.00,105000.00,102000.00,103500.00,58178,0
20160629,101000.00,105500.00,101000.00,104000.00,98302,0
20160628,99500.00,102000.00,99300.00,100500.00,80096,0
20160627,97100.00,101500.00,97100.00,100500.00,149647,0
20160624,105500.00,106500.00,99100.00,101000.00,260890,0
20160623,107500.00,108000.00,104000.00,105000.00,110556,0
20160622,108500.00,110000.00,107500.00,108000.00,56133,0
20160621,108500.00,109500.00,107500.00,109000.00,57551,0
20160620,108000.00,110500.00,107500.00,109000.00,50512,0
20160617,110000.00,110500.00,107000.00,107500.00,72977,0
20160616,109000.00,110000.00,108000.00,108500.00,102167,0
20160615,110500.00,111500.00,108500.00,109000.00,48321,0
20160614,109500.00,111500.00,108500.00,110500.00,53898,0
20160613,110500.00,110500.00,108000.00,109000.00,70702,0
20160610,109500.00,111500.00,109000.00,110500.00,107322,0
20160609,113500.00,116000.00,110500.00,111000.00,142659,0
20160608,114500.00,115000.00,112500.00,114500.00,76809,0
20160607,113000.00,115000.00,111500.00,115000.00,80340,0
20160603,112000.00,113500.00,110000.00,112500.00,226669,0
20160602,115500.00,116000.00,111500.00,112500.00,200214,0
20160601,115000.00,117500.00,114500.00,116000.00,72454,0
20160531,114000.00,115500.00,113500.00,114000.00,85267,0
20160530,115000.00,115500.00,113500.00,114500.00,88058,0
20160527,115000.00,116000.00,114000.00,115000.00,48982,0
20160526,116000.00,116000.00,114000.00,114500.00,63996,0
20160525,115500.00,118000.00,115000.00,115500.00,60159,0
20160524,118500.00,118500.00,114000.00,115000.00,132342,0
20160523,115500.00,120000.00,115000.00,119000.00,132162,0
20160520,113500.00,116500.00,112500.00,114500.00,89545,0
20160519,115500.00,115500.00,112000.00,113000.00,125858,0
20160518,116500.00,117000.00,115000.00,115000.00,98359,0
20160517,118000.00,118500.00,116000.00,117500.00,81541,0
20160516,118500.00,121000.00,117500.00,118000.00,91188,0
20160513,120000.00,121000.00,118500.00,119000.00,98637,0
20160512,120500.00,121500.00,119500.00,121500.00,87209,0
20160511,120500.00,123500.00,119500.00,121500.00,223696,0
20160510,119500.00,121000.00,117000.00,120500.00,512739,0
20160509,112000.00,116000.00,112000.00,114500.00,249124,0
20160504,112000.00,113000.00,111000.00,112000.00,91656,0
20160503,112000.00,114000.00,111500.00,113000.00,116128,0
20160502,114500.00,115000.00,111000.00,111500.00,93713,0
20160429,112000.00,114500.00,111000.00,114500.00,120909,0
20160428,113500.00,113500.00,111500.00,112000.00,107374,0
20160427,112000.00,112500.00,109500.00,111500.00,157686,0
20160426,113500.00,114000.00,111500.00,113000.00,144116,0
20160425,109500.00,113500.00,107000.00,113500.00,205186,0
20160422,109000.00,110000.00,108000.00,109000.00,128905,0
20160421,107500.00,110000.00,106000.00,110000.00,283184,0
20160420,104500.00,108500.00,103500.00,108000.00,276629,0
20160419,104500.00,105000.00,103000.00,104000.00,126687,0
20160418,99500.00,105500.00,99100.00,104500.00,367075,0
20160415,98600.00,99300.00,98000.00,98800.00,205319,0
20160414,101500.00,102000.00,98000.00,98100.00,367876,0
20160412,102500.00,103500.00,99900.00,101500.00,164881,0
20160411,104500.00,105500.00,102500.00,102500.00,164504,0
20160408,102500.00,105000.00,101500.00,103500.00,217741,0
20160407,104000.00,105500.00,100500.00,102500.00,350911,0
20160406,97900.00,106500.00,97300.00,105500.00,654141,0
20160405,101000.00,101000.00,96200.00,96300.00,332068,0
20160404,100500.00,101500.00,97000.00,97000.00,259651,0
20160401,99500.00,101000.00,98600.00,101000.00,177646,0
20160331,99700.00,101000.00,97300.00,98700.00,251688,0
20160330,102000.00,102500.00,98300.00,99300.00,245772,0
20160329,104000.00,105000.00,100000.00,102500.00,246644,0
20160328,106000.00,106500.00,102500.00,103000.00,182898,0
20160325,106500.00,107500.00,105500.00,105500.00,151312,0
20160324,106500.00,108000.00,106000.00,106500.00,122787,0
20160323,107000.00,109000.00,106500.00,107500.00,162898,0
20160322,108500.00,110000.00,106000.00,107000.00,297412,0
20160321,111000.00,112000.00,108500.00,109000.00,160546,0
20160318,114500.00,115000.00,110500.00,111000.00,285790,0
20160317,115000.00,116500.00,113500.00,114500.00,158499,0
20160316,115500.00,117000.00,113500.00,115000.00,147521,0
20160315,117000.00,118000.00,114000.00,116000.00,192447,0
20160314,112000.00,116000.00,109500.00,116000.00,267753,0
20160311,114000.00,114500.00,110500.00,111500.00,150927,0
20160310,113000.00,115500.00,111500.00,114500.00,149663,0
20160309,115000.00,117000.00,112000.00,113000.00,238200,0
20160308,114500.00,117500.00,112500.00,115500.00,193227,0
20160307,117000.00,117500.00,114000.00,114500.00,168981,0
20160304,117500.00,118500.00,114000.00,117500.00,209391,0
20160303,118000.00,118500.00,116000.00,118000.00,116045,0
20160302,117000.00,119000.00,115000.00,117500.00,231647,0
