Date,Open,High,Low,Close,Volume,Adj Close
20160812,6030.00,6030.00,5960.00,5970.00,72728,0
20160811,6080.00,6080.00,5970.00,6010.00,117160,0
20160810,6200.00,6200.00,6070.00,6090.00,67872,0
20160809,6200.00,6270.00,6110.00,6140.00,63943,0
20160808,6050.00,6200.00,6050.00,6180.00,108345,0
20160805,6130.00,6140.00,6030.00,6030.00,78441,0
20160804,6070.00,6130.00,6030.00,6100.00,69281,0
20160803,6040.00,6090.00,6010.00,6030.00,81177,0
20160802,6010.00,6100.00,6010.00,6030.00,104679,0
20160801,6070.00,6160.00,5980.00,6000.00,106726,0
20160729,6240.00,6250.00,6070.00,6090.00,117193,0
20160728,6280.00,6440.00,6220.00,6220.00,493500,0
20160727,6100.00,6150.00,6030.00,6110.00,86130,0
20160726,6140.00,6290.00,6030.00,6060.00,117809,0
20160725,6100.00,6210.00,6050.00,6140.00,83785,0
20160722,6100.00,6230.00,6090.00,6090.00,99941,0
20160721,6190.00,6200.00,6080.00,6140.00,141439,0
20160720,5810.00,6160.00,5810.00,6160.00,434278,0
20160719,5850.00,5850.00,5770.00,5810.00,34417,0
20160718,5700.00,5820.00,5700.00,5780.00,48975,0
20160715,5720.00,5770.00,5680.00,5720.00,58761,0
20160714,5810.00,5930.00,5700.00,5710.00,134289,0
20160713,5780.00,5910.00,5760.00,5850.00,80958,0
20160712,5830.00,5830.00,5730.00,5780.00,62160,0
20160711,5790.00,5830.00,5740.00,5810.00,30746,0
20160708,5760.00,5820.00,5630.00,5790.00,57520,0
20160707,5740.00,5840.00,5700.00,5760.00,42321,0
20160706,5840.00,5840.00,5660.00,5720.00,66738,0
20160705,5840.00,5930.00,5800.00,5840.00,89373,0
20160704,5910.00,5910.00,5710.00,5830.00,71194,0
20160701,5710.00,5870.00,5680.00,5840.00,151074,0
20160630,5700.00,5780.00,5640.00,5680.00,53488,0
20160629,5570.00,5710.00,5550.00,5660.00,60863,0
20160628,5410.00,5580.00,5410.00,5530.00,71560,0
20160627,5630.00,5680.00,5480.00,5500.00,183539,0
20160624,5770.00,5980.00,5200.00,5710.00,457032,0
20160623,5710.00,5770.00,5650.00,5710.00,97582,0
20160622,5630.00,5750.00,5610.00,5720.00,95831,0
20160621,5590.00,5630.00,5550.00,5610.00,45607,0
20160620,5440.00,5620.00,5440.00,5580.00,72604,0
20160617,5470.00,5590.00,5390.00,5430.00,92880,0
20160616,5550.00,5580.00,5430.00,5470.00,67505,0
20160615,5480.00,5580.00,5480.00,5550.00,28583,0
20160614,5600.00,5630.00,5470.00,5530.00,66459,0
20160613,5680.00,5680.00,5540.00,5600.00,69162,0
20160610,5600.00,5760.00,5550.00,5680.00,100001,0
20160609,5510.00,5700.00,5510.00,5620.00,66059,0
20160608,5660.00,5660.00,5530.00,5580.00,62549,0
20160607,5500.00,5620.00,5500.00,5620.00,71810,0
20160603,5710.00,5710.00,5430.00,5470.00,129638,0
20160602,5780.00,5820.00,5610.00,5660.00,144153,0
20160601,5830.00,5890.00,5700.00,5780.00,89282,0
20160531,5860.00,5980.00,5830.00,5840.00,67396,0
20160530,5950.00,6050.00,5900.00,5900.00,142315,0
20160527,5850.00,5980.00,5800.00,5930.00,154846,0
20160526,5970.00,6180.00,5730.00,5810.00,326124,0
20160525,5810.00,5910.00,5710.00,5730.00,79684,0
20160524,5860.00,5860.00,5760.00,5810.00,97235,0
20160523,5810.00,5860.00,5780.00,5800.00,58517,0
20160520,5800.00,5920.00,5790.00,5810.00,124479,0
20160519,5650.00,5810.00,5610.00,5810.00,179742,0
20160518,5730.00,5760.00,5610.00,5650.00,198931,0
20160517,5750.00,5890.00,5750.00,5780.00,237555,0
20160516,5780.00,5950.00,5720.00,5870.00,240400,0
20160513,5780.00,5810.00,5700.00,5780.00,230258,0
20160512,5580.00,5730.00,5460.00,5710.00,298798,0
20160511,5790.00,5790.00,5500.00,5580.00,357475,0
