,Date,Open,High,Low,Close,Volume,Adj Close
0,20160816,89600.00,89800.00,88600.00,88600.00,374774,0
1,20160812,91400.00,91500.00,89200.00,89500.00,758910,0
2,20160811,93600.00,94300.00,91200.00,91300.00,450805,0
3,20160810,93400.00,93400.00,92600.00,92700.00,296822,0
4,20160809,91900.00,93000.00,91600.00,92900.00,287286,0
5,20160808,92700.00,92700.00,91200.00,91500.00,197848,0
6,20160805,92800.00,93600.00,92000.00,92100.00,207745,0
7,20160804,93800.00,93800.00,92300.00,92300.00,262753,0
8,20160803,90700.00,94200.00,90600.00,93900.00,413680,0
9,20160802,91000.00,91300.00,90800.00,91000.00,120626,0
10,20160801,91500.00,91600.00,90600.00,91000.00,232381,0
11,20160729,91500.00,91600.00,90900.00,90900.00,231147,0
12,20160728,91400.00,92000.00,90700.00,91600.00,219370,0
13,20160727,91200.00,92300.00,91100.00,91200.00,183612,0
14,20160726,92600.00,92600.00,91400.00,91500.00,220402,0
15,20160725,93100.00,93200.00,92100.00,92200.00,171341,0
16,20160722,92700.00,94100.00,92700.00,92700.00,186586,0
17,20160721,94100.00,94300.00,92700.00,92700.00,181204,0
18,20160720,93600.00,94600.00,93300.00,93500.00,127396,0
19,20160719,93000.00,93900.00,93000.00,93500.00,129586,0
20,20160718,94300.00,94500.00,93100.00,93200.00,194903,0
21,20160715,95000.00,95400.00,94300.00,94300.00,196276,0
22,20160714,95000.00,95000.00,94000.00,94800.00,146903,0
23,20160713,96000.00,96200.00,94200.00,94500.00,227655,0
24,20160712,95100.00,95700.00,95000.00,95500.00,246459,0
25,20160711,94200.00,95000.00,93600.00,95000.00,180903,0
26,20160708,94000.00,94300.00,93400.00,93700.00,222693,0
27,20160707,94800.00,95700.00,94700.00,95000.00,189813,0
28,20160706,93800.00,94900.00,92600.00,94700.00,268206,0
29,20160705,93600.00,94300.00,92900.00,93300.00,186412,0
30,20160704,95200.00,95500.00,93700.00,93800.00,188530,0
31,20160701,93600.00,95300.00,93500.00,94700.00,279366,0
32,20160630,93100.00,93700.00,92700.00,93100.00,162894,0
33,20160629,92200.00,93300.00,92200.00,92200.00,234525,0
34,20160628,91000.00,92600.00,90900.00,91200.00,272948,0
35,20160627,88700.00,91800.00,88700.00,91600.00,320538,0
36,20160624,94500.00,94600.00,88300.00,91200.00,707033,0
37,20160623,93800.00,94000.00,92900.00,93200.00,182448,0
38,20160622,93300.00,94700.00,93300.00,94200.00,137669,0
39,20160621,95200.00,95700.00,93600.00,93800.00,180609,0
40,20160620,91500.00,94900.00,91500.00,94900.00,298887,0
41,20160617,91700.00,92400.00,90700.00,91300.00,250469,0
42,20160616,93000.00,93800.00,90900.00,91200.00,344770,0
43,20160615,93900.00,94000.00,92800.00,92800.00,245352,0
44,20160614,93000.00,95200.00,93000.00,94100.00,278317,0
45,20160613,94200.00,94500.00,93500.00,93800.00,256101,0
46,20160610,95500.00,96100.00,94600.00,94900.00,390162,0
47,20160609,97400.00,97500.00,94400.00,95200.00,844241,0
48,20160608,97400.00,98400.00,96900.00,97000.00,326341,0
49,20160607,97900.00,98600.00,97100.00,98200.00,275022,0
50,20160603,97000.00,98600.00,96900.00,98000.00,320178,0
51,20160602,99000.00,99300.00,96300.00,97500.00,551263,0
52,20160601,102900.00,103000.00,98100.00,98500.00,1003922,0
53,20160531,102800.00,103500.00,102000.00,102800.00,329137,0
54,20160530,101600.00,103500.00,101300.00,102800.00,318366,0
55,20160527,100400.00,101200.00,99900.00,100600.00,148152,0
56,20160526,99700.00,100300.00,98900.00,99700.00,183425,0
57,20160525,99400.00,100500.00,99200.00,99600.00,227414,0
58,20160524,100200.00,100700.00,99200.00,99200.00,170745,0
59,20160523,100200.00,101700.00,100000.00,100200.00,169690,0
60,20160520,99900.00,100500.00,98500.00,99300.00,320866,0
61,20160519,104600.00,105300.00,99800.00,100300.00,393889,0
62,20160518,104100.00,104900.00,103100.00,104500.00,206273,0
63,20160517,104500.00,106200.00,104100.00,105100.00,198356,0
64,20160516,103100.00,106200.00,102400.00,105400.00,242159,0
65,20160513,105700.00,105900.00,103300.00,103800.00,257548,0
66,20160512,104300.00,107900.00,104000.00,106300.00,553944,0
67,20160511,101500.00,106300.00,100800.00,105700.00,714933,0
68,20160510,101900.00,102200.00,99900.00,100600.00,206448,0
69,20160509,99700.00,102300.00,99700.00,101700.00,249285,0
