Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,116500.0,116500.0,116500.0,116500.0,0,115145.67
2014-01-02,116000.0,119000.0,115500.0,117500.0,211000,116134.04
2014-01-03,117000.0,118000.0,112500.0,117000.0,150700,115639.86
2014-01-06,117000.0,117000.0,114500.0,115500.0,83400,114157.29
2014-01-07,114500.0,116500.0,114000.0,114500.0,96500,113168.92
2014-01-08,115500.0,117500.0,114500.0,115500.0,93000,114157.29
2014-01-09,114500.0,119500.0,114500.0,118500.0,165800,117122.42
2014-01-10,117500.0,118500.0,114500.0,114500.0,107200,113168.92
2014-01-13,114500.0,117000.0,113500.0,114000.0,76100,112674.73
2014-01-14,113500.0,118000.0,113500.0,117000.0,111200,115639.86
2014-01-15,116000.0,118500.0,116000.0,118000.0,85900,116628.23
2014-01-16,117500.0,123000.0,117500.0,122500.0,199000,121075.92
2014-01-17,121500.0,122500.0,119000.0,119000.0,99000,117616.6
2014-01-20,119500.0,120500.0,118000.0,118500.0,68200,117122.42
2014-01-21,119000.0,121000.0,117500.0,118500.0,87400,117122.42
2014-01-22,119000.0,119000.0,114500.0,117500.0,103900,116134.04
2014-01-23,117500.0,121000.0,117000.0,118000.0,198300,116628.23
2014-01-24,118000.0,120000.0,117000.0,119000.0,113600,117616.6
2014-01-27,117000.0,119500.0,114000.0,117500.0,151700,116134.04
2014-01-28,117500.0,119000.0,116000.0,117500.0,61200,116134.04
2014-01-29,117500.0,119000.0,117000.0,119000.0,61200,117616.6
2014-01-30,119000.0,119000.0,119000.0,119000.0,0,117616.6
2014-01-31,119000.0,119000.0,119000.0,119000.0,0,117616.6
2014-02-03,118000.0,122500.0,117500.0,121500.0,118000,120087.54
2014-02-04,119500.0,121000.0,116000.0,118000.0,92700,116628.23
2014-02-05,119000.0,119000.0,115000.0,115000.0,57500,113663.11
2014-02-06,115500.0,117500.0,114000.0,117000.0,53800,115639.86
2014-02-07,117000.0,121500.0,116500.0,121500.0,98000,120087.54
2014-02-10,122500.0,124000.0,121000.0,121500.0,88200,120087.54
2014-02-11,121000.0,126000.0,121000.0,124500.0,117700,123052.67
2014-02-12,124000.0,125500.0,122500.0,124000.0,76500,122558.48
2014-02-13,124000.0,124500.0,120500.0,121000.0,106800,119593.35
2014-02-14,121000.0,123000.0,120000.0,122000.0,76400,120581.73
2014-02-17,123000.0,123000.0,119500.0,122000.0,59700,120581.73
2014-02-18,122000.0,123000.0,120000.0,122000.0,70800,120581.73
2014-02-19,121500.0,122000.0,119000.0,121500.0,44400,120087.54
2014-02-20,120000.0,120500.0,118000.0,119000.0,66200,117616.6
2014-02-21,119000.0,123500.0,119000.0,122500.0,74900,121075.92
2014-02-24,121500.0,122500.0,120500.0,121500.0,25700,120087.54
2014-02-25,122000.0,124000.0,121000.0,123000.0,50900,121570.1
2014-02-26,123000.0,123000.0,119000.0,119500.0,83900,118110.79
2014-02-27,120000.0,128000.0,119500.0,128000.0,215300,126511.98
2014-02-28,127000.0,131000.0,126000.0,127500.0,182800,126017.79
2014-03-03,126500.0,130500.0,126500.0,129000.0,91600,127500.35
2014-03-04,127500.0,129000.0,126500.0,127000.0,64400,125523.6
2014-03-05,128000.0,130500.0,124500.0,126000.0,82400,124535.23
2014-03-06,125000.0,131500.0,125000.0,128000.0,150400,126511.98
2014-03-07,128500.0,131500.0,128000.0,131000.0,103900,129477.1
2014-03-10,131500.0,133000.0,130000.0,132000.0,115200,130465.48
2014-03-11,131500.0,135000.0,131500.0,134500.0,126500,132936.41
2014-03-12,134000.0,134500.0,132000.0,132000.0,77400,130465.48
2014-03-13,133500.0,136000.0,131000.0,133500.0,103800,131948.04
2014-03-14,133500.0,135500.0,130500.0,132000.0,107700,130465.48
2014-03-17,133000.0,134000.0,130000.0,131000.0,56800,129477.1
2014-03-18,131500.0,134500.0,130500.0,132500.0,60200,130959.66
2014-03-19,132500.0,136500.0,132500.0,135500.0,79100,133924.79
2014-03-20,136000.0,137000.0,133000.0,133000.0,73000,131453.85
2014-03-21,133500.0,136500.0,132500.0,133000.0,91100,131453.85
2014-03-24,133500.0,136000.0,133500.0,134500.0,68500,132936.41
2014-03-25,135500.0,136500.0,131000.0,133000.0,145800,131453.85
