Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,94900.0,94900.0,92000.0,92000.0,3100,89765.91
2014-01-03,91800.0,93700.0,90000.0,92800.0,8200,90546.48
2014-01-06,92100.0,94400.0,92100.0,94400.0,2200,92107.63
2014-01-07,94500.0,95200.0,93500.0,94500.0,2400,92205.2
2014-01-08,94500.0,94700.0,94000.0,94300.0,1500,92010.06
2014-01-09,94300.0,96500.0,94000.0,96500.0,5700,94156.63
2014-01-10,96500.0,96500.0,94500.0,95900.0,3800,93571.2
2014-01-13,95900.0,95900.0,93600.0,94400.0,1600,92107.63
2014-01-14,93400.0,94400.0,92700.0,93500.0,2200,91229.48
2014-01-15,93200.0,94800.0,92500.0,94100.0,6200,91814.91
2014-01-16,93300.0,94400.0,92500.0,93000.0,2100,90741.63
2014-01-17,93000.0,93100.0,92200.0,92700.0,2500,90448.91
2014-01-20,92700.0,92700.0,90600.0,90600.0,3900,88399.91
2014-01-21,90400.0,92600.0,90400.0,91900.0,1600,89668.34
2014-01-22,92900.0,92900.0,91500.0,92400.0,300,90156.2
2014-01-23,92400.0,92500.0,91500.0,91500.0,400,89278.05
2014-01-24,91500.0,94200.0,91500.0,93500.0,1200,91229.48
2014-01-27,92900.0,94200.0,91000.0,93700.0,1900,91424.63
2014-01-28,93700.0,94000.0,93000.0,93800.0,1300,91522.2
2014-01-29,93000.0,95800.0,93000.0,95500.0,1400,93180.92
2014-02-03,95000.0,95700.0,94700.0,95400.0,6500,93083.35
2014-02-04,94700.0,94700.0,92400.0,93600.0,2600,91327.06
2014-02-05,93600.0,94600.0,93600.0,94000.0,1400,91717.34
2014-02-06,93100.0,94500.0,93100.0,94300.0,500,92010.06
2014-02-07,94300.0,100000.0,94300.0,99400.0,7300,96986.21
2014-02-10,100000.0,101500.0,99600.0,99900.0,3100,97474.07
2014-02-11,99900.0,104000.0,99900.0,104000.0,7000,101474.51
2014-02-12,103500.0,108000.0,102000.0,107000.0,10100,104401.66
2014-02-13,108500.0,108500.0,104500.0,106000.0,5000,103425.94
2014-02-14,105000.0,108000.0,105000.0,107000.0,6400,104401.66
2014-02-17,108500.0,109500.0,106500.0,109500.0,6900,106840.95
2014-02-18,107500.0,111500.0,107500.0,111500.0,9700,108792.38
2014-02-19,111500.0,116000.0,111500.0,114000.0,14000,111231.67
2014-02-20,112500.0,114000.0,110000.0,113500.0,5500,110743.81
2014-02-21,112000.0,113000.0,111000.0,111500.0,3100,108792.38
2014-02-24,109500.0,115000.0,109500.0,113500.0,6500,110743.81
2014-02-25,112500.0,115500.0,112500.0,115000.0,4000,112207.39
2014-02-26,113000.0,118000.0,112000.0,118000.0,4200,115134.54
2014-02-27,116000.0,124000.0,115000.0,118500.0,7800,115622.39
2014-02-28,120000.0,120000.0,115500.0,118500.0,4500,115622.39
2014-03-03,118500.0,123500.0,117000.0,118500.0,10700,115622.39
2014-03-04,118000.0,120000.0,116000.0,119000.0,5500,116110.25
2014-03-05,119000.0,123500.0,118500.0,122500.0,9100,119525.26
2014-03-06,123500.0,131500.0,121000.0,126000.0,35600,122940.27
2014-03-07,125500.0,127000.0,123000.0,124500.0,10500,121476.69
2014-03-10,125000.0,125500.0,121500.0,123000.0,4000,120013.12
2014-03-11,123500.0,124500.0,117500.0,119000.0,23800,116110.25
2014-03-12,118000.0,120000.0,114500.0,118000.0,7800,115134.54
2014-03-13,117500.0,120000.0,116000.0,117500.0,8100,114646.68
2014-03-14,116000.0,119500.0,116000.0,117500.0,5900,114646.68
2014-03-17,117500.0,119000.0,116500.0,116500.0,3900,113670.96
2014-03-18,117000.0,118000.0,114000.0,116000.0,6100,113183.1
2014-03-19,115000.0,117500.0,113500.0,117500.0,7800,114646.68
2014-03-20,117500.0,117500.0,115500.0,117500.0,700,114646.68
2014-03-21,117500.0,117500.0,111000.0,117500.0,2600,114646.68
2014-03-24,117000.0,119000.0,115000.0,118000.0,1500,115134.54
2014-03-25,119500.0,120500.0,115500.0,118500.0,4700,115622.39
