Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,2495.0,2495.0,2495.0,2495.0,0,2495.0
2014-01-02,2485.0,2485.0,2405.0,2415.0,218700,2415.0
2014-01-03,2415.0,2450.0,2410.0,2425.0,61900,2425.0
2014-01-06,2420.0,2430.0,2400.0,2410.0,57300,2410.0
2014-01-07,2405.0,2425.0,2400.0,2425.0,55500,2425.0
2014-01-08,2420.0,2475.0,2390.0,2440.0,106600,2440.0
2014-01-09,2440.0,2485.0,2435.0,2480.0,88300,2480.0
2014-01-10,2480.0,2500.0,2440.0,2460.0,67700,2460.0
2014-01-13,2460.0,2480.0,2420.0,2465.0,57900,2465.0
2014-01-14,2465.0,2495.0,2450.0,2475.0,48800,2475.0
2014-01-15,2470.0,2485.0,2445.0,2455.0,95900,2455.0
2014-01-16,2455.0,2460.0,2435.0,2440.0,52600,2440.0
2014-01-17,2480.0,2555.0,2465.0,2520.0,319600,2520.0
2014-01-20,2650.0,2750.0,2615.0,2680.0,1260800,2680.0
2014-01-21,2610.0,2610.0,2535.0,2555.0,539100,2555.0
2014-01-22,2580.0,2600.0,2535.0,2540.0,158300,2540.0
2014-01-23,2540.0,2560.0,2520.0,2540.0,124300,2540.0
2014-01-24,2545.0,2610.0,2510.0,2515.0,233200,2515.0
2014-01-27,2535.0,2605.0,2495.0,2510.0,520100,2510.0
2014-01-28,2535.0,2535.0,2440.0,2440.0,231400,2440.0
2014-01-29,2455.0,2635.0,2450.0,2615.0,475400,2615.0
2014-01-30,2615.0,2615.0,2615.0,2615.0,0,2615.0
2014-01-31,2615.0,2615.0,2615.0,2615.0,0,2615.0
2014-02-03,2585.0,2585.0,2500.0,2515.0,230000,2515.0
2014-02-04,2470.0,2495.0,2370.0,2430.0,294100,2430.0
2014-02-05,2430.0,2440.0,2400.0,2405.0,104900,2405.0
2014-02-06,2360.0,2415.0,2360.0,2410.0,122500,2410.0
2014-02-07,2420.0,2440.0,2400.0,2420.0,114500,2420.0
2014-02-10,2440.0,2440.0,2420.0,2430.0,83300,2430.0
2014-02-11,2430.0,2460.0,2425.0,2450.0,76800,2450.0
2014-02-12,2470.0,2485.0,2435.0,2445.0,62200,2445.0
2014-02-13,2445.0,2465.0,2435.0,2445.0,64500,2445.0
2014-02-14,2445.0,2500.0,2440.0,2485.0,131500,2485.0
2014-02-17,2500.0,2515.0,2480.0,2485.0,66100,2485.0
2014-02-18,2485.0,2510.0,2450.0,2485.0,42800,2485.0
2014-02-19,2485.0,2515.0,2460.0,2470.0,65800,2470.0
2014-02-20,2465.0,2480.0,2435.0,2440.0,71900,2440.0
2014-02-21,2440.0,2470.0,2430.0,2445.0,58000,2445.0
2014-02-24,2440.0,2475.0,2435.0,2455.0,83600,2455.0
2014-02-25,2455.0,2470.0,2445.0,2460.0,50200,2460.0
2014-02-26,2460.0,2490.0,2445.0,2475.0,55100,2475.0
2014-02-27,2485.0,2545.0,2465.0,2515.0,231400,2515.0
2014-02-28,2540.0,2540.0,2480.0,2495.0,101200,2495.0
2014-03-03,2490.0,2510.0,2460.0,2475.0,81500,2475.0
2014-03-04,2460.0,2490.0,2455.0,2460.0,88300,2460.0
2014-03-05,2480.0,2485.0,2460.0,2465.0,119900,2465.0
2014-03-06,2465.0,2480.0,2440.0,2475.0,146300,2475.0
2014-03-07,2480.0,2520.0,2470.0,2510.0,159300,2510.0
2014-03-10,2510.0,2535.0,2495.0,2505.0,115200,2505.0
2014-03-11,2525.0,2590.0,2495.0,2560.0,251100,2560.0
2014-03-12,2560.0,2580.0,2510.0,2510.0,158400,2510.0
2014-03-13,2510.0,2595.0,2510.0,2545.0,168000,2545.0
2014-03-14,2555.0,2580.0,2540.0,2560.0,158100,2560.0
2014-03-17,2560.0,2585.0,2540.0,2545.0,162000,2545.0
2014-03-18,2560.0,2570.0,2530.0,2545.0,86200,2545.0
2014-03-19,2560.0,2605.0,2540.0,2595.0,270600,2595.0
2014-03-20,2600.0,2625.0,2580.0,2580.0,188700,2580.0
2014-03-21,2580.0,2600.0,2545.0,2555.0,122800,2555.0
2014-03-24,2555.0,2570.0,2525.0,2535.0,96100,2535.0
2014-03-25,2520.0,2550.0,2505.0,2505.0,131900,2505.0
2014-03-26,2510.0,2555.0,2510.0,2520.0,79600,2520.0
2014-03-27,2520.0,2525.0,2505.0,2520.0,63700,2520.0
2014-03-28,2520.0,2545.0,2505.0,2530.0,90100,2530.0
2014-03-31,2545.0,2550.0,2505.0,2520.0,56500,2520.0
2014-04-01,2515.0,2540.0,2515.0,2540.0,80200,2540.0
2014-04-02,2560.0,2565.0,2525.0,2545.0,119400,2545.0
2014-04-03,2545.0,2555.0,2510.0,2515.0,113400,2515.0
2014-04-04,2515.0,2530.0,2495.0,2510.0,140200,2510.0
2014-04-07,2500.0,2515.0,2480.0,2485.0,107800,2485.0
2014-04-08,2470.0,2490.0,2460.0,2485.0,87500,2485.0
2014-04-09,2490.0,2510.0,2480.0,2495.0,87300,2495.0
2014-04-10,2495.0,2510.0,2485.0,2505.0,93300,2505.0
2014-04-11,2485.0,2515.0,2485.0,2500.0,116100,2500.0
2014-04-14,2515.0,2590.0,2510.0,2585.0,296700,2585.0
2014-04-15,2595.0,2595.0,2565.0,2580.0,119800,2580.0
2014-04-16,2595.0,2605.0,2550.0,2565.0,214500,2565.0
2014-04-17,2570.0,2580.0,2550.0,2555.0,61100,2555.0
2014-04-18,2555.0,2575.0,2550.0,2555.0,89100,2555.0
2014-04-21,2565.0,2585.0,2545.0,2585.0,100000,2585.0
2014-04-22,2585.0,2635.0,2575.0,2585.0,202800,2585.0
2014-04-23,2585.0,2605.0,2580.0,2585.0,92000,2585.0
2014-04-24,2615.0,2615.0,2545.0,2545.0,105200,2545.0
2014-04-25,2545.0,2565.0,2530.0,2530.0,79900,2530.0
2014-04-28,2520.0,2540.0,2515.0,2515.0,72500,2515.0
2014-04-29,2530.0,2550.0,2505.0,2525.0,57800,2525.0
2014-04-30,2540.0,2545.0,2515.0,2535.0,75400,2535.0
2014-05-01,2535.0,2535.0,2535.0,2535.0,0,2535.0
2014-05-02,2545.0,2560.0,2525.0,2535.0,43800,2535.0
2014-05-05,2535.0,2535.0,2535.0,2535.0,0,2535.0
2014-05-06,2535.0,2535.0,2535.0,2535.0,0,2535.0
2014-05-07,2525.0,2545.0,2485.0,2490.0,100600,2490.0
2014-05-08,2480.0,2510.0,2480.0,2500.0,68000,2500.0
2014-05-09,2500.0,2530.0,2495.0,2525.0,76700,2525.0
