Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,5770.0,5770.0,5550.0,5580.0,2300,5580.0
2014-01-03,5570.0,5600.0,5560.0,5560.0,800,5560.0
2014-01-06,5600.0,5660.0,5510.0,5620.0,900,5620.0
2014-01-07,5650.0,6040.0,5620.0,5620.0,7500,5620.0
2014-01-08,5700.0,6460.0,5700.0,6460.0,12900,6460.0
2014-01-09,7180.0,7180.0,5810.0,6040.0,15200,6040.0
2014-01-10,6100.0,6600.0,5930.0,6100.0,8000,6100.0
2014-01-13,6160.0,6480.0,6090.0,6110.0,2000,6110.0
2014-01-14,6140.0,6180.0,5920.0,5920.0,2500,5920.0
2014-01-15,5910.0,6300.0,5910.0,6170.0,3300,6170.0
2014-01-16,6100.0,6250.0,5990.0,6220.0,2100,6220.0
2014-01-17,6300.0,6360.0,6190.0,6260.0,1800,6260.0
2014-01-20,6460.0,7190.0,6410.0,7190.0,15800,7190.0
2014-01-21,7200.0,7690.0,6470.0,6630.0,27500,6630.0
2014-01-22,6690.0,6980.0,6660.0,6820.0,5000,6820.0
2014-01-23,6810.0,6980.0,6460.0,6800.0,2200,6800.0
2014-01-24,6550.0,6900.0,6480.0,6480.0,1500,6480.0
2014-01-27,6600.0,7370.0,6510.0,6830.0,15200,6830.0
2014-01-28,6990.0,6990.0,6460.0,6480.0,4100,6480.0
2014-01-29,6490.0,6770.0,6300.0,6710.0,4800,6710.0
2014-02-03,6800.0,7560.0,6560.0,6820.0,29200,6820.0
2014-02-04,6750.0,7040.0,6750.0,6870.0,6800,6870.0
2014-02-05,6870.0,7200.0,6870.0,7060.0,2300,7060.0
2014-02-06,7100.0,7850.0,7100.0,7680.0,18800,7680.0
2014-02-07,7500.0,7780.0,7310.0,7490.0,6500,7490.0
2014-02-10,7450.0,7830.0,7270.0,7500.0,8900,7500.0
2014-02-11,7690.0,7780.0,7300.0,7700.0,4100,7700.0
2014-02-12,7530.0,7650.0,7160.0,7210.0,5900,7210.0
2014-02-13,7150.0,7280.0,7120.0,7260.0,300,7260.0
2014-02-14,7160.0,7280.0,6960.0,7010.0,2500,7010.0
2014-02-17,7050.0,7650.0,7010.0,7430.0,9200,7430.0
2014-02-18,7500.0,7890.0,7200.0,7550.0,6800,7550.0
2014-02-19,7350.0,7650.0,7350.0,7450.0,2200,7450.0
2014-02-20,7450.0,7450.0,7160.0,7300.0,2600,7300.0
2014-02-21,7130.0,7440.0,7130.0,7330.0,900,7330.0
2014-02-24,7220.0,7410.0,7180.0,7370.0,1600,7370.0
2014-02-25,7290.0,7450.0,7160.0,7190.0,1600,7190.0
2014-02-26,7110.0,7190.0,6910.0,6910.0,3000,6910.0
2014-02-27,6910.0,7020.0,6820.0,6860.0,500,6860.0
2014-02-28,6960.0,6960.0,5960.0,6730.0,2900,6730.0
2014-03-03,6520.0,6880.0,6520.0,6830.0,500,6830.0
