Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,1820.0,1820.0,1780.0,1800.0,5000,1710.37
2014-01-03,1790.0,1795.0,1775.0,1780.0,12400,1691.37
2014-01-06,1780.0,1800.0,1775.0,1780.0,4600,1691.37
2014-01-07,1790.0,1815.0,1790.0,1800.0,1200,1710.37
2014-01-08,1800.0,1800.0,1800.0,1800.0,0,1710.37
2014-01-09,1800.0,1830.0,1800.0,1830.0,500,1738.88
2014-01-10,1800.0,1810.0,1800.0,1810.0,8000,1719.88
2014-01-13,1810.0,1820.0,1800.0,1820.0,100,1729.38
2014-01-14,1800.0,1805.0,1800.0,1800.0,6500,1710.37
2014-01-15,1810.0,1820.0,1805.0,1820.0,100,1729.38
2014-01-16,1820.0,1825.0,1810.0,1820.0,3300,1729.38
2014-01-17,1810.0,1845.0,1810.0,1835.0,2700,1743.63
2014-01-20,1830.0,1830.0,1800.0,1825.0,2300,1734.13
2014-01-21,1800.0,1870.0,1800.0,1835.0,4900,1743.63
2014-01-22,1870.0,1880.0,1810.0,1815.0,6500,1724.63
2014-01-23,1815.0,1815.0,1815.0,1815.0,2800,1724.63
2014-01-24,1820.0,1835.0,1800.0,1820.0,1000,1729.38
2014-01-27,1785.0,1800.0,1780.0,1790.0,8100,1700.87
2014-01-28,1785.0,1800.0,1785.0,1800.0,0,1710.37
2014-01-29,1795.0,1835.0,1790.0,1835.0,1900,1743.63
2014-02-03,1805.0,1815.0,1805.0,1805.0,4400,1715.12
2014-02-04,1800.0,1800.0,1765.0,1790.0,2800,1700.87
2014-02-05,1805.0,1805.0,1790.0,1790.0,900,1700.87
2014-02-06,1805.0,1810.0,1790.0,1790.0,2800,1700.87
2014-02-07,1800.0,1850.0,1800.0,1800.0,5800,1710.37
2014-02-10,1805.0,1815.0,1800.0,1800.0,4100,1710.37
2014-02-11,1830.0,1830.0,1800.0,1800.0,1100,1710.37
2014-02-12,1810.0,1815.0,1800.0,1805.0,17700,1715.12
2014-02-13,1800.0,1815.0,1800.0,1810.0,500,1719.88
2014-02-14,1815.0,1820.0,1810.0,1810.0,10100,1719.88
2014-02-17,1820.0,1830.0,1820.0,1830.0,4800,1738.88
2014-02-18,1830.0,1870.0,1830.0,1865.0,4900,1772.14
2014-02-19,1865.0,1870.0,1860.0,1865.0,6500,1772.14
2014-02-20,1870.0,1870.0,1860.0,1860.0,7700,1767.39
2014-02-21,1870.0,1870.0,1865.0,1865.0,5000,1772.14
2014-02-24,1870.0,1870.0,1840.0,1865.0,5900,1772.14
2014-02-25,1875.0,1895.0,1875.0,1880.0,8000,1786.39
2014-02-26,1870.0,1890.0,1850.0,1880.0,4800,1786.39
2014-02-27,1895.0,1900.0,1880.0,1900.0,4000,1805.39
2014-02-28,1910.0,1990.0,1880.0,1945.0,13400,1848.15
2014-03-03,1920.0,1995.0,1920.0,1985.0,12900,1886.16
2014-03-04,1990.0,2000.0,1960.0,1970.0,10800,1871.91
2014-03-05,1970.0,2040.0,1970.0,2030.0,8100,1928.92
2014-03-06,2000.0,2070.0,1990.0,2065.0,5000,1962.18
2014-03-07,2065.0,2065.0,2000.0,2000.0,23600,1900.41
2014-03-10,2020.0,2020.0,2020.0,2020.0,0,1919.42
2014-03-11,1960.0,2000.0,1900.0,1950.0,7400,1852.9
2014-03-12,1960.0,1960.0,1905.0,1935.0,5300,1838.65
2014-03-13,1900.0,1940.0,1900.0,1930.0,2300,1833.9
2014-03-14,1900.0,1920.0,1890.0,1905.0,5700,1810.15
2014-03-17,1900.0,1900.0,1880.0,1895.0,2500,1800.64
2014-03-18,1895.0,1950.0,1895.0,1930.0,400,1833.9
2014-03-19,1900.0,1930.0,1890.0,1900.0,1900,1805.39
2014-03-20,1900.0,1920.0,1885.0,1885.0,500,1791.14
2014-03-21,1885.0,1910.0,1835.0,1875.0,2600,1781.64
2014-03-24,1890.0,2135.0,1890.0,1925.0,6200,1829.15
2014-03-25,1935.0,1945.0,1910.0,1945.0,8200,1848.15
2014-03-26,1930.0,1970.0,1930.0,1955.0,2700,1857.66
2014-03-27,1945.0,1960.0,1920.0,1935.0,3500,1838.65
2014-03-28,1910.0,1950.0,1910.0,1935.0,6400,1838.65
2014-03-31,1945.0,2000.0,1945.0,1960.0,3300,1862.41
2014-04-01,1970.0,2000.0,1930.0,1990.0,4100,1890.91
2014-04-02,2000.0,2020.0,1955.0,2015.0,2900,1914.67
2014-04-03,2025.0,2025.0,1950.0,1955.0,5200,1857.66
2014-04-04,1965.0,1965.0,1950.0,1960.0,100,1862.41
2014-04-07,1965.0,1975.0,1945.0,1965.0,3900,1867.16
2014-04-08,2025.0,2025.0,1955.0,1985.0,4500,1886.16
2014-04-09,1930.0,2010.0,1930.0,2000.0,7100,1900.41
2014-04-10,2010.0,2020.0,1965.0,1965.0,9300,1867.16
2014-04-11,1950.0,2000.0,1950.0,1980.0,2600,1881.41
2014-04-14,1990.0,1990.0,1950.0,1990.0,3000,1890.91
2014-04-15,2000.0,2015.0,2000.0,2000.0,22700,1900.41
2014-04-16,2020.0,2020.0,1995.0,2005.0,3100,1905.17
2014-04-17,2005.0,2005.0,1980.0,2005.0,3700,1905.17
2014-04-18,1990.0,2005.0,1990.0,2000.0,3700,1900.41
2014-04-21,2000.0,2010.0,1990.0,2000.0,30200,1900.41
2014-04-22,2010.0,2015.0,1985.0,1995.0,1400,1895.66
2014-04-23,1995.0,2005.0,1995.0,2000.0,600,1900.41
2014-04-24,2000.0,2000.0,1975.0,1995.0,4600,1895.66
2014-04-25,1995.0,1995.0,1970.0,1985.0,4200,1886.16
2014-04-28,1975.0,1990.0,1975.0,1985.0,700,1886.16
2014-04-29,1985.0,1985.0,1985.0,1985.0,100,1886.16
2014-04-30,1985.0,1985.0,1950.0,1985.0,7800,1886.16
2014-05-07,1950.0,1970.0,1925.0,1950.0,2100,1852.9
2014-05-08,1945.0,1945.0,1895.0,1925.0,4900,1829.15
2014-05-09,1915.0,1925.0,1900.0,1925.0,4400,1829.15
2014-05-12,1925.0,1925.0,1900.0,1920.0,2200,1824.4
2014-05-13,1910.0,1965.0,1905.0,1965.0,1400,1867.16
2014-05-14,1950.0,2000.0,1945.0,2000.0,1800,1900.41
2014-05-15,1980.0,2000.0,1965.0,1965.0,400,1867.16
2014-05-16,1930.0,2010.0,1930.0,2010.0,1400,1909.92
2014-05-19,1990.0,2015.0,1990.0,2015.0,3700,1914.67
2014-05-20,1990.0,1990.0,1960.0,1970.0,3600,1871.91
2014-05-21,1970.0,1970.0,1920.0,1950.0,1100,1852.9
2014-05-22,1955.0,1990.0,1955.0,1960.0,500,1862.41
2014-05-23,1950.0,1955.0,1935.0,1955.0,600,1857.66
2014-05-26,1955.0,1955.0,1935.0,1950.0,1100,1852.9
2014-05-27,1940.0,1965.0,1940.0,1950.0,300,1852.9
2014-05-28,1940.0,1995.0,1940.0,1995.0,100,1895.66
2014-05-29,1940.0,2000.0,1940.0,1950.0,100,1852.9
2014-05-30,1960.0,1980.0,1920.0,1920.0,700,1824.4
2014-06-02,1930.0,1940.0,1930.0,1930.0,10100,1833.9
2014-06-03,1920.0,1930.0,1920.0,1930.0,300,1833.9
2014-06-05,1935.0,1935.0,1920.0,1930.0,300,1833.9
2014-06-09,1940.0,1940.0,1900.0,1940.0,3600,1843.4
2014-06-10,1930.0,1940.0,1905.0,1940.0,4400,1843.4
2014-06-11,1925.0,1950.0,1920.0,1935.0,7700,1838.65
2014-06-12,1935.0,1935.0,1925.0,1935.0,1400,1838.65
2014-06-13,1920.0,1950.0,1805.0,1900.0,4000,1805.39
2014-06-16,1900.0,1930.0,1900.0,1930.0,200,1833.9
2014-06-17,1920.0,1930.0,1920.0,1930.0,300,1833.9
2014-06-18,1920.0,1930.0,1915.0,1930.0,200,1833.9
2014-06-20,1910.0,1915.0,1895.0,1910.0,3800,1814.9
2014-06-23,1900.0,1910.0,1900.0,1910.0,54300,1814.9
2014-06-24,1910.0,1910.0,1900.0,1900.0,0,1805.39
2014-06-26,1900.0,1910.0,1880.0,1895.0,67800,1800.64
2014-06-27,1900.0,1900.0,1875.0,1895.0,0,1800.64
2014-06-30,1875.0,1895.0,1870.0,1895.0,5400,1800.64
2014-07-01,1890.0,1895.0,1875.0,1895.0,45100,1800.64
2014-07-02,1895.0,1915.0,1895.0,1905.0,6200,1810.15
2014-07-03,1895.0,1900.0,1880.0,1900.0,5000,1805.39
2014-07-04,1900.0,1905.0,1880.0,1890.0,7200,1795.89
2014-07-07,1895.0,1905.0,1890.0,1895.0,13600,1800.64
2014-07-08,1900.0,1915.0,1895.0,1910.0,600,1814.9
2014-07-09,1910.0,1910.0,1900.0,1910.0,2700,1814.9
2014-07-10,1915.0,1930.0,1915.0,1920.0,7500,1824.4
2014-07-11,1920.0,1940.0,1905.0,1920.0,5600,1824.4
2014-07-14,1920.0,1930.0,1910.0,1920.0,17800,1824.4
2014-07-15,1925.0,1935.0,1915.0,1930.0,3900,1833.9
2014-07-16,1930.0,1940.0,1915.0,1925.0,5500,1829.15
2014-07-17,1935.0,1955.0,1930.0,1955.0,9500,1857.66
2014-07-18,1940.0,1975.0,1940.0,1975.0,3100,1876.66
2014-07-21,1975.0,2010.0,1955.0,2000.0,16700,1900.41
2014-07-22,1950.0,2065.0,1950.0,2065.0,5200,1962.18
2014-07-23,2050.0,2295.0,2050.0,2135.0,13300,2028.69
2014-07-24,2140.0,2170.0,2050.0,2170.0,66900,2061.95
2014-07-25,2150.0,2215.0,2115.0,2210.0,10100,2099.96
2014-07-28,2230.0,2400.0,2230.0,2390.0,35700,2271.0
2014-07-29,2410.0,2595.0,2305.0,2310.0,142900,2194.98
2014-07-30,2310.0,2530.0,2285.0,2445.0,82900,2323.26
2014-07-31,2420.0,2580.0,2420.0,2465.0,42300,2342.26
2014-08-01,2460.0,2545.0,2450.0,2540.0,11000,2413.53
2014-08-04,2590.0,2630.0,2445.0,2500.0,21700,2375.52
2014-08-05,2540.0,2540.0,2430.0,2450.0,8400,2328.01
2014-08-06,2490.0,2590.0,2450.0,2585.0,15000,2456.29
2014-08-07,2585.0,2655.0,2585.0,2640.0,20200,2508.55
