Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,4580.0,4580.0,4580.0,4580.0,0,4538.63
2014-01-02,4540.0,4565.0,4500.0,4555.0,74600,4513.86
2014-01-03,4550.0,4590.0,4490.0,4530.0,86200,4489.08
2014-01-06,4530.0,4655.0,4530.0,4640.0,217600,4598.09
2014-01-07,4650.0,4750.0,4610.0,4695.0,407900,4652.59
2014-01-08,4710.0,4785.0,4680.0,4715.0,225000,4672.41
2014-01-09,4720.0,4755.0,4660.0,4720.0,255400,4677.37
2014-01-10,4720.0,4785.0,4670.0,4785.0,300900,4741.78
2014-01-13,4780.0,5020.0,4755.0,4920.0,798100,4875.56
2014-01-14,4920.0,4960.0,4820.0,4910.0,269700,4865.65
2014-01-15,4910.0,4990.0,4885.0,4965.0,190000,4920.15
2014-01-16,4935.0,5010.0,4925.0,4975.0,132900,4930.06
2014-01-17,4970.0,4970.0,4835.0,4885.0,261100,4840.88
2014-01-20,4885.0,4885.0,4755.0,4800.0,249700,4756.65
2014-01-21,4790.0,4845.0,4740.0,4830.0,142800,4786.37
2014-01-22,4830.0,4975.0,4810.0,4945.0,270000,4900.34
2014-01-23,4960.0,5000.0,4945.0,4960.0,316900,4915.2
2014-01-24,4975.0,5020.0,4940.0,4965.0,258500,4920.15
2014-01-27,4855.0,4955.0,4810.0,4950.0,208700,4905.29
2014-01-28,4890.0,5130.0,4880.0,5020.0,292000,4974.66
2014-01-29,5000.0,5130.0,4990.0,5090.0,369400,5044.03
2014-01-30,5090.0,5090.0,5090.0,5090.0,0,5044.03
2014-01-31,5090.0,5090.0,5090.0,5090.0,0,5044.03
2014-02-03,5070.0,5080.0,5020.0,5050.0,256900,5004.39
2014-02-04,5000.0,5030.0,4950.0,4980.0,281500,4935.02
2014-02-05,4980.0,5100.0,4970.0,5010.0,311100,4964.75
2014-02-06,5040.0,5050.0,4940.0,5010.0,284100,4964.75
2014-02-07,4985.0,5040.0,4950.0,5010.0,197700,4964.75
2014-02-10,5020.0,5070.0,4870.0,4915.0,130400,4870.61
2014-02-11,4915.0,4945.0,4800.0,4850.0,91600,4806.19
2014-02-12,4845.0,4970.0,4845.0,4945.0,295900,4900.34
2014-02-13,4945.0,5040.0,4945.0,5020.0,476800,4974.66
2014-02-14,5020.0,5030.0,4920.0,4920.0,65600,4875.56
2014-02-17,4930.0,5000.0,4870.0,4915.0,41400,4870.61
2014-02-18,4915.0,4980.0,4875.0,4890.0,78500,4845.83
2014-02-19,4890.0,4965.0,4880.0,4940.0,116700,4895.38
2014-02-20,4940.0,4945.0,4790.0,4805.0,134600,4761.6
2014-02-21,4805.0,4810.0,4755.0,4770.0,115100,4726.92
2014-02-24,4790.0,4810.0,4735.0,4755.0,80000,4712.05
2014-02-25,4735.0,4930.0,4720.0,4900.0,156200,4855.74
2014-02-26,4855.0,4920.0,4830.0,4895.0,113100,4850.79
2014-02-27,4855.0,4925.0,4805.0,4895.0,109500,4850.79
2014-02-28,4920.0,4920.0,4820.0,4835.0,127600,4791.33
2014-03-03,4820.0,4865.0,4765.0,4810.0,132100,4766.55
2014-03-04,4805.0,4840.0,4750.0,4770.0,125000,4726.92
2014-03-05,4770.0,4795.0,4665.0,4690.0,397900,4647.64
2014-03-06,4690.0,4865.0,4670.0,4825.0,179800,4781.42
2014-03-07,4820.0,4895.0,4820.0,4840.0,335700,4796.28
2014-03-10,4815.0,4820.0,4750.0,4795.0,81500,4751.69
2014-03-11,4765.0,4860.0,4740.0,4840.0,150200,4796.28
2014-03-12,4815.0,4830.0,4725.0,4765.0,101200,4721.96
2014-03-13,4730.0,4810.0,4675.0,4765.0,114000,4721.96
2014-03-14,4700.0,4770.0,4645.0,4690.0,235600,4647.64
2014-03-17,4690.0,4690.0,4570.0,4620.0,314300,4578.27
2014-03-18,4615.0,4645.0,4555.0,4645.0,114900,4603.05
2014-03-19,4635.0,4770.0,4625.0,4730.0,97600,4687.28
2014-03-20,4705.0,4755.0,4630.0,4705.0,175000,4662.5
2014-03-21,4705.0,4735.0,4660.0,4700.0,137700,4657.55
2014-03-24,4680.0,4720.0,4640.0,4670.0,126400,4627.82
2014-03-25,4670.0,4670.0,4550.0,4625.0,198800,4583.23
