Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,3400.0,3400.0,3400.0,3400.0,0,3335.41
2014-01-02,3455.0,3455.0,3385.0,3390.0,83900,3325.6
2014-01-03,3390.0,3440.0,3320.0,3335.0,148400,3271.65
2014-01-06,3325.0,3350.0,3295.0,3335.0,108200,3271.65
2014-01-07,3315.0,3440.0,3315.0,3415.0,90700,3350.13
2014-01-08,3440.0,3440.0,3345.0,3370.0,98800,3305.98
2014-01-09,3355.0,3480.0,3330.0,3480.0,117600,3413.89
2014-01-10,3450.0,3465.0,3380.0,3420.0,112600,3355.03
2014-01-13,3420.0,3440.0,3390.0,3400.0,50400,3335.41
2014-01-14,3395.0,3415.0,3365.0,3385.0,82100,3320.7
2014-01-15,3425.0,3510.0,3385.0,3435.0,188600,3369.75
2014-01-16,3470.0,3510.0,3415.0,3460.0,73200,3394.27
2014-01-17,3420.0,3470.0,3415.0,3465.0,55000,3399.18
2014-01-20,3460.0,3460.0,3395.0,3440.0,78900,3374.65
2014-01-21,3420.0,3455.0,3415.0,3450.0,81000,3384.46
2014-01-22,3490.0,3490.0,3435.0,3450.0,66500,3384.46
2014-01-23,3480.0,3480.0,3405.0,3440.0,57300,3374.65
2014-01-24,3380.0,3420.0,3360.0,3400.0,141500,3335.41
2014-01-27,3335.0,3345.0,3315.0,3340.0,78000,3276.55
2014-01-28,3320.0,3345.0,3270.0,3315.0,162200,3252.03
2014-01-29,3325.0,3435.0,3315.0,3435.0,153000,3369.75
2014-01-30,3435.0,3435.0,3435.0,3435.0,0,3369.75
2014-01-31,3435.0,3435.0,3435.0,3435.0,0,3369.75
2014-02-03,3380.0,3420.0,3345.0,3400.0,64900,3335.41
2014-02-04,3320.0,3360.0,3300.0,3310.0,77600,3247.12
2014-02-05,3350.0,3415.0,3320.0,3350.0,54900,3286.36
2014-02-06,3320.0,3370.0,3280.0,3310.0,67600,3247.12
2014-02-07,3330.0,3360.0,3315.0,3325.0,39200,3261.84
2014-02-10,3340.0,3345.0,3290.0,3310.0,69200,3247.12
2014-02-11,3325.0,3325.0,3290.0,3290.0,75200,3227.5
2014-02-12,3305.0,3385.0,3295.0,3335.0,74200,3271.65
2014-02-13,3330.0,3400.0,3330.0,3385.0,74500,3320.7
2014-02-14,3370.0,3420.0,3370.0,3395.0,39000,3330.51
2014-02-17,3405.0,3440.0,3365.0,3400.0,109100,3335.41
2014-02-18,3435.0,3460.0,3380.0,3400.0,77800,3335.41
2014-02-19,3400.0,3430.0,3360.0,3405.0,63300,3340.32
2014-02-20,3350.0,3405.0,3350.0,3370.0,35600,3305.98
2014-02-21,3405.0,3405.0,3365.0,3390.0,50100,3325.6
2014-02-24,3390.0,3415.0,3360.0,3360.0,35000,3296.17
2014-02-25,3380.0,3515.0,3375.0,3480.0,292700,3413.89
