Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,7590.0,7590.0,7590.0,7590.0,0,7255.39
2014-01-02,7560.0,7670.0,7330.0,7420.0,545600,7092.88
2014-01-03,7490.0,7490.0,7120.0,7120.0,769000,6806.11
2014-01-06,7110.0,7250.0,7070.0,7150.0,417300,6834.78
2014-01-07,7110.0,7300.0,7110.0,7140.0,435500,6825.23
2014-01-08,7130.0,7270.0,7120.0,7250.0,262200,6930.38
2014-01-09,7300.0,7300.0,7080.0,7080.0,646800,6767.87
2014-01-10,7120.0,7230.0,7040.0,7180.0,473300,6863.46
2014-01-13,7240.0,7300.0,7150.0,7200.0,402400,6882.58
2014-01-14,7160.0,7230.0,7060.0,7090.0,335900,6777.43
2014-01-15,7090.0,7190.0,7060.0,7180.0,290100,6863.46
2014-01-16,7140.0,7230.0,7140.0,7160.0,246700,6844.34
2014-01-17,7150.0,7210.0,7050.0,7120.0,333000,6806.11
2014-01-20,7070.0,7180.0,7070.0,7150.0,224200,6834.78
2014-01-21,7150.0,7210.0,7100.0,7210.0,221100,6892.14
2014-01-22,7210.0,7390.0,7170.0,7390.0,501300,7064.2
2014-01-23,7380.0,7400.0,7110.0,7110.0,451400,6796.55
2014-01-24,7120.0,7210.0,7090.0,7170.0,292500,6853.9
2014-01-27,7190.0,7190.0,6960.0,6970.0,508700,6662.72
2014-01-28,7040.0,7110.0,6900.0,6950.0,398800,6643.6
2014-01-29,6980.0,7370.0,6980.0,7320.0,623500,6997.29
2014-01-30,7320.0,7320.0,7320.0,7320.0,0,6997.29
2014-01-31,7320.0,7320.0,7320.0,7320.0,0,6997.29
2014-02-03,7370.0,7380.0,7000.0,7030.0,629200,6720.08
2014-02-04,7000.0,7000.0,6830.0,6830.0,639100,6528.89
2014-02-05,6970.0,6980.0,6850.0,6930.0,348500,6624.48
2014-02-06,7000.0,7010.0,6890.0,6930.0,281900,6624.48
2014-02-07,6950.0,7040.0,6920.0,7040.0,220500,6729.63
2014-02-10,7080.0,7080.0,6930.0,6950.0,249300,6643.6
2014-02-11,6910.0,6950.0,6850.0,6880.0,382800,6576.69
2014-02-12,6900.0,6950.0,6860.0,6870.0,340500,6567.13
2014-02-13,6880.0,6940.0,6850.0,6870.0,195900,6567.13
2014-02-14,6870.0,7010.0,6860.0,7010.0,206100,6700.96
2014-02-17,7100.0,7100.0,6980.0,7010.0,134600,6700.96
2014-02-18,7010.0,7060.0,6880.0,6990.0,133900,6681.84
2014-02-19,6920.0,6980.0,6880.0,6960.0,223400,6653.16
2014-02-20,6890.0,6920.0,6860.0,6880.0,309400,6576.69
2014-02-21,6880.0,6940.0,6880.0,6890.0,176700,6586.25
2014-02-24,6880.0,6990.0,6860.0,6960.0,250700,6653.16
2014-02-25,6960.0,7020.0,6900.0,6950.0,367200,6643.6
2014-02-26,6870.0,6940.0,6850.0,6880.0,301900,6576.69
2014-02-27,6860.0,6950.0,6730.0,6940.0,376300,6634.04
2014-02-28,6870.0,6980.0,6840.0,6840.0,510700,6538.45
2014-03-03,6800.0,6870.0,6770.0,6830.0,378000,6528.89
2014-03-04,6810.0,6900.0,6770.0,6850.0,377300,6548.01
2014-03-05,6900.0,6960.0,6850.0,6960.0,269700,6653.16
2014-03-06,6910.0,6990.0,6870.0,6940.0,287000,6634.04
2014-03-07,6920.0,6980.0,6890.0,6950.0,198100,6643.6
2014-03-10,6910.0,6940.0,6850.0,6940.0,300100,6634.04
2014-03-11,6880.0,6930.0,6840.0,6920.0,367900,6614.92
2014-03-12,6860.0,6870.0,6780.0,6870.0,544400,6567.13
2014-03-13,6890.0,6890.0,6760.0,6760.0,556000,6461.98
2014-03-14,6790.0,6810.0,6700.0,6720.0,386800,6423.74
2014-03-17,6720.0,6780.0,6680.0,6780.0,380300,6481.1
2014-03-18,6800.0,6880.0,6780.0,6840.0,297500,6538.45
2014-03-19,6850.0,6860.0,6770.0,6800.0,241300,6500.21
2014-03-20,6810.0,6810.0,6750.0,6750.0,264700,6452.42
2014-03-21,6760.0,6850.0,6750.0,6760.0,448000,6461.98
2014-03-24,6770.0,6850.0,6760.0,6800.0,191500,6500.21
2014-03-25,6780.0,6870.0,6760.0,6760.0,502100,6461.98
2014-03-26,6790.0,6920.0,6790.0,6900.0,585900,6595.81
2014-03-27,6910.0,6930.0,6820.0,6850.0,395800,6548.01
2014-03-28,6830.0,6950.0,6830.0,6910.0,330600,6605.37
2014-03-31,6870.0,7010.0,6870.0,6980.0,428500,6672.28
2014-04-01,6890.0,7020.0,6830.0,6890.0,479300,6586.25
2014-04-02,6870.0,6920.0,6850.0,6870.0,284800,6567.13
2014-04-03,6840.0,6950.0,6840.0,6890.0,341600,6586.25
2014-04-04,6960.0,6990.0,6890.0,6930.0,531400,6624.48
2014-04-07,6880.0,6980.0,6860.0,6930.0,279600,6624.48
2014-04-08,6890.0,6930.0,6870.0,6910.0,165900,6605.37
2014-04-09,6890.0,7070.0,6890.0,7020.0,616100,6710.52
2014-04-10,7080.0,7100.0,7020.0,7050.0,339100,6739.19
2014-04-11,6960.0,7080.0,6960.0,7030.0,294200,6720.08
2014-04-14,6970.0,7040.0,6920.0,7000.0,218100,6691.4
2014-04-15,6980.0,7030.0,6940.0,6940.0,295500,6634.04
2014-04-16,6930.0,6960.0,6880.0,6890.0,185200,6586.25
2014-04-17,6890.0,6970.0,6890.0,6950.0,269700,6643.6
2014-04-18,6990.0,7040.0,6950.0,6960.0,293300,6653.16
2014-04-21,6930.0,7030.0,6930.0,6970.0,74600,6662.72
2014-04-22,7010.0,7020.0,6930.0,7010.0,114900,6700.96
2014-04-23,6970.0,6980.0,6880.0,6960.0,208800,6653.16
2014-04-24,6920.0,6970.0,6880.0,6960.0,262700,6653.16
2014-04-25,6910.0,6970.0,6810.0,6850.0,484300,6548.01
2014-04-28,6820.0,6870.0,6810.0,6810.0,163300,6509.77
2014-04-29,6820.0,6850.0,6770.0,6820.0,151700,6519.33
2014-04-30,6800.0,6820.0,6720.0,6720.0,472300,6423.74
2014-05-01,6720.0,6720.0,6720.0,6720.0,0,6423.74
2014-05-02,6710.0,6740.0,6690.0,6730.0,285500,6433.3
2014-05-05,6730.0,6730.0,6730.0,6730.0,0,6433.3
2014-05-06,6730.0,6730.0,6730.0,6730.0,0,6433.3
2014-05-07,6710.0,6770.0,6620.0,6630.0,721900,6337.71
2014-05-08,6630.0,6650.0,6540.0,6590.0,478200,6299.47
2014-05-09,6560.0,6630.0,6500.0,6620.0,296500,6328.15
2014-05-12,6630.0,6640.0,6530.0,6590.0,369700,6299.47
2014-05-13,6580.0,6690.0,6500.0,6620.0,387600,6328.15
2014-05-14,6580.0,6730.0,6580.0,6710.0,742300,6414.18
2014-05-15,6700.0,6740.0,6670.0,6680.0,307700,6385.51
2014-05-16,6670.0,6700.0,6650.0,6690.0,239300,6395.06
2014-05-19,6660.0,6730.0,6630.0,6680.0,535300,6385.51
2014-05-20,6640.0,6710.0,6630.0,6670.0,280800,6375.95
2014-05-21,6660.0,6710.0,6630.0,6690.0,336800,6395.06
2014-05-22,6690.0,6750.0,6660.0,6710.0,299400,6414.18
2014-05-23,6730.0,6760.0,6660.0,6700.0,809400,6404.62
2014-05-26,6670.0,6780.0,6670.0,6710.0,373600,6414.18
2014-05-27,6760.0,6770.0,6620.0,6660.0,286500,6366.39
2014-05-28,6640.0,6730.0,6630.0,6680.0,514200,6385.51
2014-05-29,6680.0,6690.0,6560.0,6620.0,585000,6328.15
2014-05-30,6580.0,6620.0,6440.0,6480.0,1118200,6194.32
2014-06-02,6500.0,6540.0,6490.0,6510.0,371700,6223.0
2014-06-03,6450.0,6480.0,6310.0,6370.0,1124700,6089.17
2014-06-04,6370.0,6370.0,6370.0,6370.0,0,6089.17
2014-06-05,6320.0,6450.0,6320.0,6430.0,606200,6146.53
2014-06-06,6430.0,6430.0,6430.0,6430.0,0,6146.53
2014-06-09,6420.0,6500.0,6410.0,6450.0,383800,6165.65
2014-06-10,6530.0,6530.0,6430.0,6470.0,348000,6184.76
2014-06-11,6540.0,6540.0,6370.0,6460.0,746000,6175.2
2014-06-12,6410.0,6470.0,6380.0,6380.0,924800,6098.73
2014-06-13,6380.0,6420.0,6330.0,6390.0,838100,6108.29
2014-06-16,6350.0,6410.0,6310.0,6380.0,384800,6098.73
2014-06-17,6340.0,6390.0,6290.0,6330.0,772500,6050.94
2014-06-18,6300.0,6380.0,6270.0,6310.0,362100,6031.82
2014-06-19,6370.0,6400.0,6290.0,6360.0,353700,6079.61
2014-06-20,6360.0,6370.0,6270.0,6330.0,451100,6050.94
2014-06-23,6310.0,6400.0,6280.0,6310.0,288500,6031.82
2014-06-24,6300.0,6450.0,6290.0,6340.0,393200,6060.49
2014-06-25,6340.0,6370.0,6310.0,6330.0,215300,6050.94
2014-06-26,6360.0,6490.0,6340.0,6430.0,371900,6146.53
2014-06-27,6480.0,6490.0,6410.0,6440.0,245700,6156.09
2014-06-30,6480.0,6490.0,6420.0,6460.0,283700,6175.2
2014-07-01,6420.0,6470.0,6420.0,6460.0,109400,6175.2
2014-07-02,6460.0,6530.0,6420.0,6460.0,421100,6175.2
2014-07-03,6440.0,6490.0,6410.0,6470.0,185600,6184.76
2014-07-04,6470.0,6550.0,6460.0,6490.0,145200,6203.88
2014-07-07,6530.0,6530.0,6420.0,6490.0,131800,6203.88
2014-07-08,6450.0,6480.0,6360.0,6470.0,225800,6184.76
2014-07-09,6410.0,6450.0,6370.0,6410.0,280700,6127.41
2014-07-10,6450.0,6450.0,6370.0,6380.0,200700,6098.73
2014-07-11,6370.0,6400.0,6330.0,6390.0,287000,6108.29
2014-07-14,6380.0,6410.0,6330.0,6410.0,188800,6127.41
2014-07-15,6410.0,6450.0,6370.0,6390.0,310900,6108.29
2014-07-16,6380.0,6440.0,6340.0,6410.0,343300,6127.41
2014-07-17,6380.0,6430.0,6370.0,6430.0,194900,6146.53
2014-07-18,6360.0,6440.0,6360.0,6440.0,241700,6156.09
2014-07-21,6410.0,6490.0,6380.0,6430.0,255900,6146.53
2014-07-22,6370.0,6470.0,6370.0,6470.0,277500,6184.76
2014-07-23,6470.0,6510.0,6440.0,6480.0,295100,6194.32
2014-07-24,6510.0,6550.0,6450.0,6490.0,365100,6203.88
2014-07-25,6490.0,6560.0,6480.0,6530.0,301800,6242.12
2014-07-28,6550.0,6660.0,6500.0,6610.0,437800,6318.59
2014-07-29,6670.0,6790.0,6620.0,6750.0,1273500,6452.42
2014-07-30,6790.0,6850.0,6760.0,6810.0,886500,6509.77
2014-07-31,6830.0,6930.0,6820.0,6860.0,1110600,6557.57
2014-08-01,6920.0,6950.0,6840.0,6940.0,651100,6634.04
2014-08-04,6900.0,6930.0,6800.0,6860.0,574500,6557.57
2014-08-05,6860.0,6860.0,6760.0,6850.0,326400,6548.01
2014-08-06,6870.0,6870.0,6770.0,6790.0,228400,6490.66
2014-08-07,6760.0,6820.0,6730.0,6800.0,223600,6500.21
2014-08-08,6770.0,6840.0,6730.0,6760.0,348200,6461.98
2014-08-11,6770.0,6860.0,6770.0,6800.0,350900,6500.21
2014-08-12,6830.0,6890.0,6820.0,6860.0,362200,6557.57
2014-08-13,6900.0,6950.0,6840.0,6880.0,617600,6576.69
2014-08-14,6790.0,6950.0,6790.0,6930.0,445600,6624.48
2014-08-15,6930.0,6930.0,6930.0,6930.0,0,6624.48
2014-08-18,6960.0,6970.0,6890.0,6890.0,432900,6586.25
2014-08-19,6850.0,6980.0,6850.0,6930.0,447400,6624.48
2014-08-20,6970.0,6970.0,6890.0,6940.0,210100,6634.04
2014-08-21,6980.0,6980.0,6850.0,6920.0,436300,6614.92
2014-08-22,6860.0,6970.0,6850.0,6970.0,372600,6662.72
2014-08-25,6990.0,7050.0,6920.0,6960.0,354400,6653.16
2014-08-26,7020.0,7050.0,6970.0,7030.0,344200,6720.08
2014-08-27,7070.0,7260.0,7010.0,7070.0,710700,6758.31
2014-08-28,7070.0,7180.0,7010.0,7040.0,229400,6729.63
2014-08-29,6980.0,7070.0,6900.0,6960.0,663800,6653.16
2014-09-01,6910.0,6960.0,6860.0,6920.0,182200,6614.92
2014-09-02,6880.0,6930.0,6810.0,6820.0,327000,6519.33
2014-09-03,6770.0,6870.0,6770.0,6830.0,315100,6528.89
2014-09-04,6840.0,6860.0,6800.0,6810.0,174800,6509.77
2014-09-05,6780.0,6860.0,6720.0,6840.0,270600,6538.45
2014-09-08,6840.0,6840.0,6840.0,6840.0,0,6538.45
2014-09-09,6840.0,6840.0,6840.0,6840.0,0,6538.45
2014-09-10,6840.0,6840.0,6840.0,6840.0,0,6538.45
2014-09-11,6770.0,6840.0,6740.0,6740.0,555100,6442.86
2014-09-12,6730.0,6800.0,6670.0,6690.0,309800,6395.06
2014-09-15,6700.0,6710.0,6600.0,6650.0,222400,6356.83
2014-09-16,6650.0,6770.0,6650.0,6680.0,231600,6385.51
2014-09-17,6720.0,6750.0,6680.0,6690.0,907000,6395.06
2014-09-18,6680.0,6840.0,6680.0,6840.0,318000,6538.45
2014-09-19,6840.0,6890.0,6770.0,6830.0,601000,6528.89
2014-09-22,6810.0,7050.0,6810.0,6880.0,524800,6576.69
2014-09-23,6910.0,7020.0,6900.0,6990.0,599400,6681.84
2014-09-24,6990.0,7120.0,6910.0,7050.0,591900,6739.19
2014-09-25,7020.0,7070.0,6950.0,7030.0,374500,6720.08
2014-09-26,7040.0,7080.0,6990.0,7010.0,271900,6700.96
2014-09-29,6970.0,7100.0,6870.0,7100.0,475600,6786.99
2014-09-30,6980.0,7100.0,6950.0,7100.0,509600,6786.99
2014-10-01,7010.0,7050.0,6930.0,6990.0,315500,6681.84
2014-10-02,6950.0,7040.0,6900.0,7000.0,651500,6691.4
2014-10-03,7000.0,7000.0,7000.0,7000.0,0,6691.4
2014-10-06,6940.0,7000.0,6880.0,6890.0,265700,6586.25
2014-10-07,6940.0,6940.0,6810.0,6890.0,267200,6586.25
2014-10-08,6880.0,6990.0,6870.0,6870.0,323500,6567.13
2014-10-09,6870.0,6870.0,6870.0,6870.0,0,6567.13
2014-10-10,6980.0,7070.0,6900.0,7070.0,463900,6758.31
2014-10-13,7090.0,7150.0,7020.0,7130.0,513200,6815.67
2014-10-14,7190.0,7190.0,6960.0,6960.0,552000,6653.16
2014-10-15,7050.0,7150.0,6930.0,7150.0,483400,6834.78
2014-10-16,7150.0,7150.0,6920.0,7020.0,636500,6710.52
