Date,Open,High,Low,Close,Volume,Adj Close
2011-05-13,6145.33,6145.33,5228.26,5228.26,453100,4939.2
2011-05-16,4453.0,4453.0,4453.0,4453.0,512000,4206.8
2011-05-17,3928.28,4046.46,3786.47,3786.47,12882400,3577.12
2011-05-18,3871.56,3885.74,3696.65,3720.29,6516200,3514.6
2011-05-19,3729.74,3753.38,3186.12,3271.21,6501000,3090.35
2011-05-20,3290.11,3422.48,3162.48,3257.02,2941600,3076.95
2011-05-23,3309.02,3375.2,3119.94,3261.75,3420600,3081.41
2011-05-24,3181.39,3361.02,3148.3,3148.3,2924900,2974.24
2011-05-25,3195.57,3205.03,2921.39,2930.85,3258600,2768.81
2011-05-26,2930.85,2978.12,2784.31,2789.03,2920900,2634.83
2011-05-27,2812.67,2855.21,2737.03,2793.76,1954000,2639.3
2011-05-30,2822.12,2883.58,2741.76,2741.76,1674600,2590.17
2011-05-31,2765.4,2774.85,2642.49,2685.04,1501600,2536.59
2011-06-01,2703.94,2907.21,2656.67,2826.85,2186800,2670.56
2011-06-02,2755.94,2897.76,2722.85,2869.4,1740600,2710.76
2011-06-03,2902.49,2926.12,2774.85,2793.76,1407300,2639.3
2011-06-07,2798.49,3110.48,2798.49,3063.21,2127500,2893.85
2011-06-08,3049.03,3082.12,2930.85,3025.39,1007500,2858.12
2011-06-09,2973.39,3044.3,2897.76,2930.85,674200,2768.81
2011-06-10,2968.67,2968.67,2765.4,2770.12,1143900,2616.97
2011-06-13,2727.58,2774.85,2557.4,2628.31,838700,2483.0
2011-06-14,2614.13,2718.13,2614.13,2656.67,463400,2509.79
2011-06-15,2647.22,2703.94,2623.58,2689.76,408700,2541.05
2011-06-16,2656.67,2751.22,2651.95,2666.13,513800,2518.73
2011-06-17,2628.31,2661.4,2547.95,2599.95,1139700,2456.2
2011-06-20,2637.76,2642.49,2585.77,2609.4,362200,2465.13
2011-06-21,2623.58,2628.31,2585.77,2609.4,441400,2465.13
2011-06-22,2628.31,2637.76,2581.04,2609.4,417900,2465.13
2011-06-23,2590.49,2656.67,2590.49,2604.67,539300,2460.66
2011-06-24,2604.67,2642.49,2595.22,2618.86,448500,2474.07
2011-06-27,2623.58,2694.49,2618.86,2637.76,578200,2491.92
2011-06-28,2656.67,2685.04,2618.86,2651.95,574400,2505.33
2011-06-29,2666.13,2675.58,2557.4,2609.4,583100,2465.13
2011-06-30,2609.4,2628.31,2581.04,2609.4,387700,2465.13
2011-07-01,2609.4,2618.86,2571.58,2576.31,466400,2433.87
2011-07-04,2585.77,2599.95,2571.58,2585.77,344300,2442.81
2011-07-05,2585.77,2585.77,2562.13,2571.58,293000,2429.4
2011-07-06,2566.86,2628.31,2557.4,2614.13,506700,2469.6
2011-07-07,2599.95,2618.86,2576.31,2581.04,369300,2438.34
2011-07-08,2590.49,2637.76,2585.77,2585.77,354200,2442.81
2011-07-11,2633.04,2685.04,2604.67,2647.22,597500,2500.86
2011-07-12,2647.22,2661.4,2618.86,2642.49,277100,2496.39
2011-07-13,2647.22,2666.13,2614.13,2656.67,225900,2509.79
2011-07-14,2614.13,2656.67,2614.13,2647.22,327200,2500.86
2011-07-15,2647.22,3006.48,2633.04,2940.3,1619000,2777.74
2011-07-18,2968.67,3091.57,2968.67,3006.48,1493300,2840.26
2011-07-19,2968.67,3044.3,2949.76,3025.39,427100,2858.12
2011-07-20,3034.85,3058.48,2921.39,2935.58,911400,2773.28
2011-07-21,2930.85,2959.21,2708.67,2959.21,1286900,2795.6
2011-07-22,2921.39,2997.03,2864.67,2954.48,332200,2791.13
2011-07-25,2902.49,2940.3,2807.94,2807.94,286100,2652.69
2011-07-26,2807.94,3015.94,2807.94,2888.3,578600,2728.61
2011-07-27,2893.03,2893.03,2831.58,2836.31,250000,2679.5
2011-07-28,2779.58,2883.58,2774.85,2845.76,515100,2688.42
2011-07-29,2836.31,2869.4,2779.58,2779.58,324100,2625.9
2011-08-01,2836.31,2930.85,2798.49,2930.85,353400,2768.81
2011-08-02,2902.49,2926.12,2822.12,2845.76,399300,2688.42
2011-08-03,2798.49,2822.12,2737.03,2746.49,515300,2594.64
2011-08-04,2812.67,2812.67,2694.49,2708.67,315600,2558.91
2011-08-05,2533.77,2656.67,2410.86,2651.95,351100,2505.33
2011-08-08,2642.49,2642.49,2254.86,2458.13,784800,2322.23
2011-08-09,2231.23,2344.68,2089.41,2259.59,656800,2134.66
2011-08-10,2373.04,2439.22,2141.41,2207.59,650100,2085.54
2011-08-11,2051.59,2169.77,1942.87,2113.05,767500,1996.22
2011-08-12,2207.59,2207.59,2094.14,2117.77,611800,2000.68
2011-08-16,2183.96,2250.14,2165.05,2245.41,404400,2121.27
2011-08-17,2245.41,2325.77,2235.95,2292.68,544700,2165.92
2011-08-18,2269.04,2287.95,2127.23,2179.23,624100,2058.74
2011-08-19,2032.69,2032.69,1890.87,1890.87,1108100,1786.33
2011-08-22,1890.87,1923.96,1810.51,1815.24,409800,1714.88
2011-08-23,1834.14,1895.6,1834.14,1890.87,436900,1786.33
2011-08-24,1947.6,1957.05,1843.6,1871.96,307600,1768.46
2011-08-25,1890.87,1947.6,1890.87,1928.69,237900,1822.06
2011-08-26,1900.32,1952.32,1890.87,1947.6,151000,1839.92
2011-08-29,1966.51,1985.41,1933.41,1952.32,402000,1844.38
2011-08-30,1994.87,2061.05,1952.32,2013.78,662000,1902.44
2011-08-31,2009.05,2089.41,1980.69,2079.96,623700,1964.96
2011-09-01,2094.14,2155.59,2042.14,2103.59,856200,1987.29
2011-09-02,2051.59,2084.68,2046.87,2079.96,595400,1964.96
2011-09-05,2023.23,2046.87,2004.32,2004.32,400300,1893.51
2011-09-06,1985.41,2013.78,1947.6,2013.78,427800,1902.44
2011-09-07,2013.78,2079.96,1985.41,2027.96,460300,1915.84
2011-09-08,2046.87,2046.87,2013.78,2018.5,229200,1906.9
2011-09-09,1994.87,2027.96,1980.69,1994.87,215700,1884.58
2011-09-14,1966.51,1999.6,1928.69,1933.41,226600,1826.52
2011-09-15,1952.32,1985.41,1886.14,1890.87,178200,1786.33
2011-09-16,1914.51,2061.05,1914.51,2061.05,428800,1947.1
2011-09-19,2056.32,2368.31,2013.78,2150.86,708700,2031.94
2011-09-20,2155.59,2212.32,2079.96,2141.41,252700,2023.02
2011-09-21,2198.14,2207.59,2131.96,2146.14,165300,2027.48
2011-09-22,2056.32,2136.68,2023.23,2061.05,197400,1947.1
2011-09-23,1938.14,1985.41,1914.51,1933.41,357100,1826.52
2011-09-26,1909.78,1933.41,1801.05,1843.6,370500,1741.67
2011-09-27,1853.05,1952.32,1853.05,1947.6,191000,1839.92
2011-09-28,1975.96,1990.14,1923.96,1938.14,109200,1830.98
2011-09-29,1928.69,2018.5,1890.87,2018.5,136200,1906.9
2011-09-30,2042.14,2127.23,2009.05,2065.78,331000,1951.57
2011-10-04,1980.69,2004.32,1938.14,1980.69,204600,1871.18
