Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,6419.5,6419.5,6419.5,6419.5,0,6278.68
2014-01-02,6504.59,6504.59,6296.6,6419.5,32700,6278.68
2014-01-03,6419.5,6854.4,6419.5,6627.5,81100,6482.11
2014-01-06,6844.95,7563.48,6627.5,6986.77,76500,6833.5
2014-01-07,6986.77,7232.58,6873.31,7119.13,37400,6962.96
2014-01-08,7156.94,7223.12,6996.22,7166.4,40600,7009.19
2014-01-09,7204.22,7204.22,6570.77,7166.4,113200,7009.19
2014-01-10,7185.31,7308.21,7071.85,7071.85,41800,6916.72
2014-01-13,7232.58,7232.58,7005.67,7185.31,49100,7027.69
2014-01-14,6958.4,7185.31,6958.4,7185.31,46900,7027.69
2014-01-15,7166.4,7270.4,7119.13,7175.85,46500,7018.44
2014-01-16,7175.85,7355.49,7015.13,7279.85,84800,7120.15
2014-01-17,7355.49,7440.57,7185.31,7346.03,55400,7184.88
2014-01-20,7440.57,7487.85,7279.85,7327.12,54100,7166.39
2014-01-21,7213.67,7317.67,7138.04,7289.31,56700,7129.41
2014-01-22,7090.76,7251.49,7090.76,7100.22,62800,6944.46
2014-01-23,7156.94,7156.94,6873.31,6958.4,87700,6805.76
2014-01-24,6948.95,7147.49,6948.95,7119.13,19900,6962.96
2014-01-27,7062.4,7156.94,6958.4,7138.04,34600,6981.45
2014-01-28,7128.58,7251.49,7024.58,7138.04,36000,6981.45
2014-01-29,7138.04,7232.58,6948.95,7034.04,39900,6879.74
2014-01-30,7034.04,7034.04,7034.04,7034.04,0,6879.74
2014-01-31,7034.04,7034.04,7034.04,7034.04,0,6879.74
2014-02-03,7034.04,7034.04,6844.95,6958.4,43600,6805.76
2014-02-04,6911.13,7071.85,6807.13,7071.85,57800,6916.72
2014-02-05,7024.58,7156.94,6911.13,7109.67,52400,6953.71
2014-02-06,7090.76,7204.22,6901.68,7024.58,54900,6870.48
2014-02-07,7024.58,7081.31,6967.86,7005.67,13300,6851.99
2014-02-10,6996.22,7071.85,6901.68,7005.67,26700,6851.99
2014-02-11,6996.22,7062.4,6958.4,7024.58,16400,6870.48
2014-02-12,7128.58,7128.58,6731.5,7024.58,63200,6870.48
2014-02-13,6977.31,7052.95,6854.4,7024.58,66400,6870.48
2014-02-14,7090.76,7128.58,6996.22,7128.58,25300,6972.2
2014-02-17,7175.85,7223.12,7043.49,7043.49,22600,6888.98
2014-02-18,7128.58,7128.58,6996.22,7005.67,17400,6851.99
2014-02-19,7005.67,7166.4,6911.13,7166.4,38500,7009.19
2014-02-20,6996.22,7185.31,6996.22,7185.31,40800,7027.69
2014-02-21,7138.04,7204.22,6986.77,7034.04,158700,6879.74
2014-02-24,7024.58,7034.04,6835.5,6977.31,91900,6824.25
