Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,15150.0,15150.0,15150.0,15150.0,0,14162.55
2014-01-02,15150.0,15500.0,15100.0,15500.0,115500,14489.73
2014-01-03,15550.0,15600.0,15300.0,15400.0,128200,14396.25
2014-01-06,15500.0,15750.0,15250.0,15350.0,114400,14349.51
2014-01-07,15250.0,15650.0,15250.0,15400.0,141000,14396.25
2014-01-08,15550.0,15650.0,15250.0,15400.0,144300,14396.25
2014-01-09,15450.0,15650.0,15300.0,15600.0,262400,14583.22
2014-01-10,15600.0,15650.0,15250.0,15500.0,170600,14489.73
2014-01-13,15400.0,15650.0,15400.0,15500.0,215900,14489.73
2014-01-14,15550.0,15550.0,15200.0,15300.0,98700,14302.77
2014-01-15,15400.0,15400.0,14750.0,15350.0,428300,14349.51
2014-01-16,15350.0,15350.0,14950.0,15100.0,301700,14115.81
2014-01-17,15100.0,15200.0,15000.0,15100.0,105100,14115.81
2014-01-20,15200.0,15200.0,14650.0,14700.0,255800,13741.88
2014-01-21,14750.0,14850.0,14650.0,14700.0,140600,13741.88
2014-01-22,14700.0,14800.0,14600.0,14600.0,149100,13648.39
2014-01-23,14750.0,14900.0,14400.0,14700.0,180000,13741.88
2014-01-24,14550.0,14800.0,14250.0,14650.0,271400,13695.14
2014-01-27,14450.0,14650.0,14250.0,14350.0,273400,13414.69
2014-01-28,14400.0,14500.0,14100.0,14450.0,213100,13508.17
2014-01-29,14600.0,15050.0,14300.0,15050.0,380000,14069.06
2014-01-30,15050.0,15050.0,15050.0,15050.0,0,14069.06
2014-01-31,15050.0,15050.0,15050.0,15050.0,0,14069.06
2014-02-03,15100.0,15100.0,14300.0,14550.0,307100,13601.65
2014-02-04,14300.0,14700.0,14250.0,14650.0,144500,13695.14
2014-02-05,14550.0,14650.0,14400.0,14550.0,120600,13601.65
2014-02-06,14550.0,14750.0,14450.0,14650.0,50000,13695.14
2014-02-07,14700.0,15150.0,14600.0,15100.0,163100,14115.81
2014-02-10,15050.0,15050.0,14700.0,14850.0,142000,13882.1
2014-02-11,14800.0,14950.0,14700.0,14800.0,152400,13835.36
2014-02-12,14900.0,15100.0,14800.0,15000.0,192000,14022.32
2014-02-13,15200.0,15200.0,14700.0,14800.0,138300,13835.36
2014-02-14,14850.0,14850.0,14450.0,14650.0,211000,13695.14
