Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,1610.61,1610.61,1610.61,1610.61,0,1460.872
2014-01-02,1615.22,1619.82,1564.6,1569.2,794300,1423.312
2014-01-03,1564.6,1601.41,1559.99,1564.6,662500,1419.139
2014-01-06,1564.6,1592.21,1559.99,1573.8,471000,1427.484
2014-01-07,1573.8,1578.4,1532.38,1550.79,1389200,1406.613
2014-01-08,1550.79,1559.99,1518.58,1546.19,735300,1402.441
2014-01-09,1536.99,1578.4,1536.99,1564.6,849000,1419.139
2014-01-10,1578.4,1638.22,1573.8,1633.62,1343000,1481.742
2014-01-13,1647.43,1665.84,1619.82,1661.23,1094400,1506.786
2014-01-14,1638.22,1656.63,1633.62,1633.62,555200,1481.742
2014-01-15,1652.03,1684.24,1642.83,1679.64,947400,1523.484
2014-01-16,1679.64,1688.84,1652.03,1679.64,562800,1523.484
2014-01-17,1670.44,1693.45,1665.84,1684.24,481000,1527.656
2014-01-20,1675.04,1693.45,1642.83,1647.43,510700,1494.269
2014-01-21,1656.63,1679.64,1610.61,1656.63,487400,1502.613
2014-01-22,1656.63,1670.44,1633.62,1638.22,287900,1485.915
2014-01-23,1638.22,1656.63,1610.61,1638.22,280200,1485.915
2014-01-24,1629.02,1647.43,1601.41,1642.83,620500,1490.096
2014-01-27,1601.41,1638.22,1564.6,1610.61,613700,1460.872
2014-01-28,1606.01,1624.42,1596.81,1624.42,258400,1473.398
2014-01-29,1624.42,1647.43,1615.22,1642.83,306600,1490.096
2014-01-30,1642.83,1642.83,1642.83,1642.83,0,1490.096
2014-01-31,1642.83,1642.83,1642.83,1642.83,0,1490.096
2014-02-03,1638.22,1642.83,1619.82,1624.42,271900,1473.398
2014-02-04,1615.22,1615.22,1587.61,1587.61,380600,1440.01
2014-02-05,1596.81,1606.01,1587.61,1601.41,321100,1452.527
2014-02-06,1610.61,1610.61,1587.61,1592.21,295800,1444.182
2014-02-07,1606.01,1610.61,1592.21,1596.81,351100,1448.355
2014-02-10,1601.41,1647.43,1583.0,1638.22,502300,1485.915
2014-02-11,1656.63,1684.24,1633.62,1679.64,592300,1523.484
2014-02-12,1684.24,1684.24,1661.23,1661.23,637200,1506.786
2014-02-13,1679.64,1679.64,1638.22,1665.84,368700,1510.967
2014-02-14,1665.84,1675.04,1633.62,1665.84,259400,1510.967
2014-02-17,1665.84,1670.44,1647.43,1656.63,221000,1502.613
2014-02-18,1647.43,1702.65,1642.83,1702.65,1538100,1544.355
2014-02-19,1716.45,1716.45,1698.05,1702.65,1051700,1544.355
2014-02-20,1698.05,1711.85,1684.24,1702.65,1039400,1544.355
2014-02-21,1711.85,1739.46,1707.25,1734.86,993300,1573.57
2014-02-24,1744.07,1753.27,1711.85,1721.06,524100,1561.053
2014-02-25,1721.06,1753.27,1702.65,1730.26,769600,1569.398
