Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,8900.0,8900.0,8900.0,8900.0,0,8395.36
2014-01-02,8960.0,8980.0,8750.0,8800.0,743100,8301.03
2014-01-03,8790.0,8790.0,8630.0,8750.0,1145000,8253.87
2014-01-06,8760.0,8770.0,8650.0,8710.0,624300,8216.13
2014-01-07,8670.0,8770.0,8660.0,8730.0,462800,8235.0
2014-01-08,8780.0,8780.0,8660.0,8670.0,534600,8178.4
2014-01-09,8640.0,8980.0,8620.0,8870.0,2300300,8367.06
2014-01-10,8800.0,8840.0,8670.0,8790.0,1795300,8291.6
2014-01-13,8790.0,8840.0,8740.0,8760.0,759800,8263.3
2014-01-14,8660.0,8740.0,8650.0,8720.0,712900,8225.57
2014-01-15,8730.0,8780.0,8690.0,8750.0,543700,8253.87
2014-01-16,8760.0,8840.0,8760.0,8800.0,576600,8301.03
2014-01-17,8800.0,8840.0,8660.0,8730.0,753600,8235.0
2014-01-20,8700.0,8720.0,8640.0,8700.0,584400,8206.7
2014-01-21,8720.0,8820.0,8670.0,8790.0,677100,8291.6
2014-01-22,8800.0,8840.0,8740.0,8790.0,419600,8291.6
2014-01-23,8770.0,8800.0,8720.0,8720.0,446000,8225.57
2014-01-24,8680.0,8750.0,8660.0,8710.0,486900,8216.13
2014-01-27,8600.0,8630.0,8520.0,8620.0,1060100,8131.24
2014-01-28,8610.0,8610.0,8510.0,8570.0,866900,8084.07
2014-01-29,8550.0,8670.0,8530.0,8610.0,899600,8121.8
2014-01-30,8610.0,8610.0,8610.0,8610.0,0,8121.8
2014-01-31,8610.0,8610.0,8610.0,8610.0,0,8121.8
2014-02-03,8540.0,8560.0,8380.0,8510.0,1285300,8027.47
2014-02-04,8370.0,8370.0,8190.0,8270.0,2597800,7801.08
2014-02-05,8280.0,8320.0,8180.0,8220.0,1325700,7753.92
2014-02-06,8200.0,8260.0,8100.0,8160.0,1066100,7697.32
2014-02-07,8200.0,8210.0,8080.0,8110.0,1192600,7650.15
2014-02-10,8150.0,8150.0,8060.0,8060.0,911400,7602.99
2014-02-11,8070.0,8080.0,7960.0,8080.0,1029500,7621.86
2014-02-12,8110.0,8260.0,8080.0,8160.0,1049400,7697.32
2014-02-13,8130.0,8230.0,8130.0,8140.0,546500,7678.45
2014-02-14,8170.0,8260.0,8120.0,8230.0,630100,7763.35
2014-02-17,8270.0,8310.0,8220.0,8240.0,587000,7772.78
2014-02-18,8250.0,8270.0,8150.0,8220.0,562600,7753.92
2014-02-19,8190.0,8210.0,8140.0,8210.0,570400,7744.48
2014-02-20,8180.0,8210.0,8130.0,8180.0,508000,7716.19
2014-02-21,8170.0,8210.0,8140.0,8200.0,609300,7735.05
2014-02-24,8200.0,8230.0,8130.0,8180.0,468400,7716.19
2014-02-25,8230.0,8510.0,8220.0,8410.0,2564700,7933.14
2014-02-26,8400.0,8430.0,8320.0,8380.0,767400,7904.85
2014-02-27,8380.0,8610.0,8360.0,8460.0,1437700,7980.31
2014-02-28,8470.0,8760.0,8390.0,8540.0,2962100,8055.77
2014-03-03,8560.0,8580.0,8450.0,8500.0,1228000,8018.04
2014-03-04,8480.0,8530.0,8370.0,8400.0,1059600,7923.71
2014-03-05,8500.0,8630.0,8470.0,8490.0,1023000,8008.61
2014-03-06,8510.0,8570.0,8470.0,8530.0,430300,8046.34
2014-03-07,8540.0,8630.0,8420.0,8480.0,646400,7999.18
2014-03-10,8460.0,8460.0,8320.0,8430.0,727300,7952.01
2014-03-11,8410.0,8440.0,8350.0,8400.0,928300,7923.71
2014-03-12,8360.0,8360.0,8220.0,8250.0,1288300,7782.22
2014-03-13,8260.0,8280.0,8190.0,8200.0,816200,7735.05
2014-03-14,8120.0,8180.0,8070.0,8100.0,1186800,7640.72
2014-03-17,8090.0,8110.0,8020.0,8050.0,1157400,7593.56
2014-03-18,8110.0,8130.0,8030.0,8070.0,925500,7612.42
2014-03-19,8110.0,8190.0,8100.0,8120.0,866300,7659.59
2014-03-20,8100.0,8100.0,7980.0,8060.0,1213500,7602.99
2014-03-21,8110.0,8110.0,7950.0,8030.0,1567600,7574.69
2014-03-24,8030.0,8110.0,8000.0,8020.0,871300,7565.26
2014-03-25,8020.0,8230.0,7980.0,8130.0,2040600,7669.02
2014-03-26,8160.0,8220.0,8130.0,8140.0,753300,7678.45
2014-03-27,8130.0,8170.0,8070.0,8140.0,576000,7678.45
2014-03-28,8170.0,8290.0,8120.0,8160.0,1095900,7697.32
2014-03-31,8200.0,8270.0,8160.0,8200.0,1037700,7735.05
2014-04-01,8210.0,8250.0,8160.0,8210.0,834400,7744.48
2014-04-02,8290.0,8400.0,8270.0,8280.0,2090700,7810.52
2014-04-03,8280.0,8340.0,8200.0,8220.0,1150300,7753.92
2014-04-04,8220.0,8240.0,8180.0,8190.0,956800,7725.62
2014-04-07,8150.0,8200.0,8120.0,8190.0,559000,7725.62
2014-04-08,8180.0,8390.0,8160.0,8300.0,1621000,7829.38
2014-04-09,8360.0,8800.0,8350.0,8700.0,8364500,8206.7
2014-04-10,8840.0,8870.0,8680.0,8730.0,2435700,8235.0
2014-04-11,8640.0,8700.0,8550.0,8700.0,1681300,8206.7
2014-04-14,8680.0,8740.0,8610.0,8690.0,1228500,8197.27
2014-04-15,8760.0,9030.0,8750.0,8760.0,2936900,8263.3
2014-04-16,8830.0,8940.0,8780.0,8780.0,1827700,8282.17
2014-04-17,8840.0,8870.0,8680.0,8780.0,1758300,8282.17
2014-04-18,8830.0,8850.0,8760.0,8770.0,1252500,8272.73
2014-04-21,8800.0,8830.0,8720.0,8790.0,699300,8291.6
2014-04-22,8820.0,8860.0,8670.0,8770.0,1228500,8272.73
2014-04-23,8820.0,8840.0,8590.0,8670.0,1262200,8178.4
2014-04-24,8680.0,8740.0,8530.0,8640.0,905000,8150.1
2014-04-25,8650.0,8650.0,8450.0,8510.0,1174400,8027.47
2014-04-28,8460.0,8570.0,8420.0,8500.0,777500,8018.04
2014-04-29,8510.0,8530.0,8390.0,8450.0,987800,7970.88
2014-04-30,8460.0,8510.0,8440.0,8460.0,747600,7980.31
2014-05-01,8460.0,8460.0,8460.0,8460.0,0,7980.31
