Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,3925.0,3975.0,3890.0,3935.0,7900,3527.09
2014-01-03,3930.0,3930.0,3865.0,3895.0,3400,3491.23
2014-01-06,3890.0,3890.0,3860.0,3890.0,2800,3486.75
2014-01-07,3890.0,3895.0,3880.0,3895.0,3400,3491.23
2014-01-08,3875.0,3890.0,3860.0,3890.0,4500,3486.75
2014-01-09,3865.0,3945.0,3865.0,3945.0,6800,3536.05
2014-01-10,3940.0,3940.0,3880.0,3900.0,3400,3495.72
2014-01-13,3880.0,3920.0,3880.0,3915.0,2700,3509.16
2014-01-14,3900.0,3900.0,3880.0,3900.0,1300,3495.72
2014-01-15,3900.0,3930.0,3880.0,3885.0,4900,3482.27
2014-01-16,3930.0,3930.0,3900.0,3920.0,6600,3513.64
2014-01-17,3910.0,3930.0,3875.0,3930.0,11200,3522.61
2014-01-20,3930.0,3930.0,3885.0,3920.0,3000,3513.64
2014-01-21,3915.0,3925.0,3890.0,3925.0,6300,3518.12
2014-01-22,3925.0,3925.0,3885.0,3920.0,4500,3513.64
2014-01-23,3885.0,3910.0,3885.0,3890.0,9700,3486.75
2014-01-24,3875.0,3925.0,3875.0,3915.0,15000,3509.16
2014-01-27,3880.0,3910.0,3850.0,3865.0,7600,3464.34
2014-01-28,3880.0,3935.0,3860.0,3925.0,3500,3518.12
2014-01-29,3930.0,3940.0,3880.0,3940.0,5200,3531.57
2014-02-03,3850.0,3855.0,3700.0,3830.0,22500,3432.97
2014-02-04,3830.0,3830.0,3755.0,3800.0,3800,3406.08
2014-02-05,3800.0,3805.0,3775.0,3795.0,7600,3401.6
2014-02-06,3755.0,3800.0,3755.0,3790.0,10600,3397.12
2014-02-07,3830.0,3830.0,3790.0,3825.0,6000,3428.49
2014-02-10,3785.0,3795.0,3735.0,3790.0,8400,3397.12
2014-02-11,3785.0,3800.0,3775.0,3800.0,4500,3406.08
2014-02-12,3800.0,3825.0,3780.0,3800.0,14700,3406.08
2014-02-13,3800.0,3820.0,3785.0,3820.0,12100,3424.01
2014-02-14,3830.0,3840.0,3790.0,3825.0,14500,3428.49
2014-02-17,3840.0,3840.0,3790.0,3805.0,17800,3410.56
2014-02-18,3800.0,3850.0,3800.0,3850.0,13000,3450.9
2014-02-19,3810.0,4000.0,3810.0,4000.0,2700,3585.35
2014-02-20,3925.0,3925.0,3855.0,3920.0,3000,3513.64
2014-02-21,3965.0,3965.0,3845.0,3900.0,7100,3495.72
2014-02-24,3860.0,3905.0,3825.0,3860.0,3400,3459.86
2014-02-25,3860.0,3960.0,3835.0,3915.0,9000,3509.16
2014-02-26,3865.0,3900.0,3845.0,3895.0,16700,3491.23
2014-02-27,3910.0,3965.0,3850.0,3940.0,7400,3531.57
2014-02-28,3975.0,4165.0,3880.0,4010.0,22500,3594.31
2014-03-03,4010.0,4035.0,3910.0,4035.0,7600,3616.72
2014-03-04,4025.0,4045.0,3960.0,4010.0,15200,3594.31
2014-03-05,4010.0,4100.0,4010.0,4095.0,9400,3670.5
2014-03-06,4030.0,4140.0,4030.0,4125.0,16700,3697.39
2014-03-07,4125.0,4145.0,4070.0,4100.0,94300,3674.98
2014-03-10,4100.0,4110.0,4050.0,4050.0,6800,3630.17
2014-03-11,4050.0,4120.0,4025.0,4090.0,6200,3666.02
2014-03-12,4095.0,4095.0,4000.0,4000.0,14600,3585.35
2014-03-13,4020.0,4100.0,3990.0,4090.0,5300,3666.02
2014-03-14,4010.0,4080.0,4005.0,4070.0,8900,3648.09
2014-03-17,4075.0,4075.0,4005.0,4055.0,5200,3634.65
2014-03-18,4085.0,4085.0,4015.0,4075.0,11400,3652.58
2014-03-19,4070.0,4080.0,4040.0,4075.0,11700,3652.58
2014-03-20,4040.0,4045.0,4015.0,4020.0,8700,3603.28
2014-03-21,4040.0,4060.0,4010.0,4010.0,4900,3594.31
2014-03-24,4075.0,4075.0,4015.0,4045.0,7800,3625.69
2014-03-25,4005.0,4080.0,4005.0,4050.0,8100,3630.17
2014-03-26,4080.0,4080.0,4050.0,4075.0,17100,3652.58
2014-03-27,4075.0,4080.0,4060.0,4065.0,4100,3643.61
2014-03-28,4060.0,4120.0,4060.0,4070.0,8700,3648.09
2014-03-31,4080.0,4080.0,4065.0,4075.0,6100,3652.58
2014-04-01,4065.0,4115.0,4065.0,4075.0,4900,3652.58
2014-04-02,4120.0,4150.0,4080.0,4145.0,23700,3715.32
2014-04-03,4085.0,4170.0,4080.0,4140.0,80200,3710.84
2014-04-04,4105.0,4140.0,4080.0,4140.0,4700,3710.84
2014-04-07,4140.0,4140.0,4060.0,4135.0,6500,3706.36
2014-04-08,4070.0,4180.0,4070.0,4165.0,10200,3733.25
2014-04-09,4170.0,4300.0,4170.0,4255.0,37200,3813.92
2014-04-10,4265.0,4310.0,4255.0,4300.0,32300,3854.25
2014-04-11,4280.0,4285.0,4265.0,4280.0,30200,3836.32
2014-04-14,4280.0,4320.0,4280.0,4320.0,27300,3872.18
2014-04-15,4320.0,4510.0,4320.0,4400.0,34900,3943.89
2014-04-16,4405.0,4525.0,4405.0,4505.0,30100,4038.0
2014-04-17,4510.0,4550.0,4490.0,4490.0,31600,4024.56
2014-04-18,4490.0,4510.0,4475.0,4500.0,16600,4033.52
2014-04-21,4470.0,4500.0,4445.0,4500.0,7200,4033.52
2014-04-22,4500.0,4505.0,4440.0,4495.0,11900,4029.04
2014-04-23,4495.0,4495.0,4310.0,4365.0,10800,3912.51
2014-04-24,4370.0,4370.0,4310.0,4370.0,17900,3917.0
2014-04-25,4325.0,4365.0,4285.0,4365.0,3200,3912.51
2014-04-28,4355.0,4360.0,4330.0,4355.0,4800,3903.55
2014-04-29,4360.0,4370.0,4300.0,4360.0,12800,3908.03
2014-04-30,4350.0,4365.0,4320.0,4350.0,800,3899.07
2014-05-02,4320.0,4355.0,4295.0,4305.0,13900,3858.73
2014-05-07,4390.0,4390.0,4050.0,4325.0,37100,3876.66
2014-05-08,4325.0,4325.0,4270.0,4325.0,700,3876.66
2014-05-09,4325.0,4335.0,4230.0,4230.0,11800,3791.51
2014-05-12,4220.0,4310.0,4200.0,4210.0,11000,3773.58
2014-05-13,4250.0,4330.0,4250.0,4320.0,13900,3872.18
2014-05-14,4300.0,4380.0,4295.0,4360.0,12700,3908.03
2014-05-15,4400.0,4430.0,4370.0,4390.0,10000,3934.92
2014-05-16,4320.0,4415.0,4320.0,4395.0,21400,3939.4
2014-05-19,4390.0,4445.0,4390.0,4420.0,7400,3961.81
2014-05-20,4450.0,4450.0,4365.0,4420.0,40800,3961.81
2014-05-21,4420.0,4545.0,4360.0,4500.0,56400,4033.52
2014-05-22,4505.0,4550.0,4505.0,4535.0,7300,4064.89
2014-05-23,4530.0,4540.0,4520.0,4530.0,11300,4060.41
2014-05-26,4570.0,4580.0,4505.0,4535.0,22000,4064.89
2014-05-27,4495.0,4560.0,4425.0,4475.0,3000,4011.11
2014-05-28,4420.0,4520.0,4320.0,4510.0,10200,4042.48
2014-05-29,4520.0,4550.0,4460.0,4520.0,12100,4051.45
2014-05-30,4520.0,4550.0,4500.0,4545.0,41400,4073.85
2014-06-02,4500.0,4500.0,4465.0,4490.0,6000,4024.56
2014-06-03,4500.0,4500.0,4435.0,4490.0,16300,4024.56
2014-06-05,4500.0,4500.0,4410.0,4465.0,1800,4002.15
2014-06-09,4415.0,4475.0,4400.0,4470.0,35000,4006.63
2014-06-10,4490.0,4530.0,4425.0,4520.0,26800,4051.45
2014-06-11,4475.0,4615.0,4475.0,4600.0,21600,4123.15
2014-06-12,4580.0,4640.0,4580.0,4610.0,21500,4132.12
2014-06-13,4535.0,4600.0,4530.0,4530.0,30400,4060.41
2014-06-16,4530.0,4620.0,4510.0,4620.0,3300,4141.08
2014-06-17,4615.0,4620.0,4500.0,4615.0,11800,4136.6
2014-06-18,4625.0,4625.0,4500.0,4560.0,43800,4087.3
2014-06-19,4585.0,4585.0,4540.0,4585.0,5100,4109.71
2014-06-20,4530.0,4570.0,4480.0,4570.0,26300,4096.26
2014-06-23,4510.0,4525.0,4480.0,4525.0,8100,4055.93
2014-06-24,4485.0,4520.0,4450.0,4520.0,11300,4051.45
2014-06-25,4460.0,4490.0,4430.0,4430.0,7800,3970.78
2014-06-26,4400.0,4480.0,4400.0,4445.0,8200,3984.22
2014-06-27,4445.0,4480.0,4445.0,4480.0,900,4015.59
2014-06-30,4480.0,4500.0,4460.0,4500.0,1600,4033.52
2014-07-01,4440.0,4500.0,3825.0,4430.0,17400,3970.78
2014-07-02,4440.0,4550.0,4430.0,4510.0,30900,4042.48
2014-07-03,4510.0,4780.0,4490.0,4595.0,14400,4118.67
2014-07-04,4605.0,4650.0,4605.0,4640.0,12600,4159.01
2014-07-07,4640.0,4645.0,4545.0,4640.0,7900,4159.01
2014-07-08,4570.0,4680.0,4570.0,4675.0,15000,4190.38
2014-07-09,4650.0,4670.0,4580.0,4660.0,9100,4176.93
2014-07-10,4670.0,4770.0,4670.0,4770.0,54400,4275.53
2014-07-11,4770.0,4860.0,4720.0,4840.0,26600,4338.27
2014-07-14,4850.0,4950.0,4815.0,4945.0,30800,4432.39
2014-07-15,4945.0,5070.0,4945.0,5060.0,51300,4535.47
2014-07-16,5070.0,5120.0,5000.0,5010.0,47700,4490.65
2014-07-17,5090.0,5210.0,5030.0,5210.0,67200,4669.92
2014-07-18,5180.0,5230.0,5140.0,5170.0,36400,4634.07
2014-07-21,5170.0,5260.0,5140.0,5220.0,67900,4678.88
2014-07-22,5220.0,5290.0,5220.0,5240.0,51200,4696.81
2014-07-23,5260.0,5410.0,5250.0,5370.0,111700,4813.33
2014-07-24,5440.0,5440.0,5310.0,5360.0,60300,4804.37
2014-07-25,5350.0,5500.0,5330.0,5440.0,83900,4876.08
2014-07-28,5440.0,5820.0,5440.0,5810.0,94200,5207.72
2014-07-29,5860.0,5880.0,5740.0,5770.0,58700,5171.87
2014-07-30,5750.0,6030.0,5690.0,5900.0,127500,5288.39
2014-07-31,5900.0,6040.0,5890.0,5910.0,102600,5297.36
2014-08-01,5810.0,5980.0,5790.0,5900.0,48300,5288.39
2014-08-04,5910.0,5980.0,5560.0,5980.0,55400,5360.1
2014-08-05,5950.0,5950.0,5790.0,5920.0,35000,5306.32
2014-08-06,5950.0,5970.0,5830.0,5920.0,106700,5306.32
2014-08-07,5960.0,6030.0,5860.0,6030.0,56500,5404.92
2014-08-08,6020.0,6030.0,5810.0,6000.0,68100,5378.03
2014-08-11,6080.0,6360.0,6050.0,6350.0,153600,5691.74
2014-08-12,6400.0,6750.0,6400.0,6650.0,196800,5960.64
2014-08-13,6680.0,6820.0,6550.0,6800.0,165600,6095.1
2014-08-14,6950.0,6980.0,6720.0,6850.0,75200,6139.91
2014-08-18,6880.0,6880.0,6620.0,6790.0,98700,6086.13
2014-08-19,6740.0,7000.0,6740.0,6950.0,108000,6229.55
2014-08-20,7020.0,7020.0,6750.0,6870.0,49800,6157.84
2014-08-21,6860.0,6860.0,6410.0,6410.0,189100,5745.52
2014-08-22,6520.0,6590.0,6400.0,6500.0,52600,5826.19
2014-08-25,6460.0,6810.0,6390.0,6800.0,116400,6095.1
2014-08-26,6860.0,6890.0,6730.0,6750.0,46200,6050.28
2014-08-27,6760.0,6990.0,6760.0,6940.0,191000,6220.58
2014-08-28,6950.0,7020.0,6830.0,6830.0,107400,6121.99
2014-08-29,6810.0,6870.0,6650.0,6830.0,86000,6121.99
2014-09-01,6790.0,6800.0,6690.0,6740.0,58800,6041.32
2014-09-02,6740.0,6770.0,6550.0,6720.0,96100,6023.39
2014-09-03,6650.0,6820.0,6650.0,6730.0,100300,6032.35
2014-09-04,6770.0,6820.0,6730.0,6790.0,40500,6086.13
2014-09-05,6810.0,6810.0,6600.0,6660.0,31300,5969.61
2014-09-11,6660.0,6730.0,6630.0,6720.0,15900,6023.39
2014-09-12,6720.0,6720.0,6470.0,6470.0,61300,5799.3
2014-09-15,6420.0,6420.0,6190.0,6230.0,72500,5584.18
2014-09-16,6300.0,6390.0,6240.0,6390.0,20300,5727.6
