Date,Open,High,Low,Close,Volume,Adj Close
2014-01-01,32885.93,32885.93,32885.93,32885.93,0,23586.12
2014-01-02,32885.93,32885.93,31772.61,31943.9,201600,22910.49
2014-01-03,31558.53,32029.61,31001.87,31729.82,243000,22756.95
2014-01-06,31558.53,31815.4,31087.45,31301.66,123400,22449.87
2014-01-07,31001.87,32029.61,31001.87,31601.32,152500,22664.79
2014-01-08,31815.4,32500.56,31815.4,31943.9,152200,22910.49
2014-01-09,31772.61,32885.93,31601.32,32457.77,188200,23279.04
2014-01-10,32714.64,32714.64,31301.66,31858.32,158200,22849.11
2014-01-13,32029.61,32629.06,31772.61,32372.06,134100,23217.57
2014-01-14,32072.4,32714.64,32072.4,32543.34,121200,23340.42
2014-01-15,32629.06,32671.85,32286.48,32629.06,104900,23401.89
2014-01-16,32586.27,32928.85,31815.4,32414.98,213800,23248.35
2014-01-17,32115.19,32457.77,31901.11,32414.98,120000,23248.35
2014-01-20,32157.98,32372.06,32029.61,32072.4,89700,23002.65
2014-01-21,32072.4,32286.48,31986.69,32072.4,73100,23002.65
2014-01-22,31901.11,32200.9,31258.74,31258.74,223600,22419.08
2014-01-23,31344.45,31901.11,31215.95,31215.95,162000,22388.4
2014-01-24,31044.66,31601.32,31001.87,31258.74,123700,22419.08
2014-01-27,30573.71,31001.87,30231.13,30787.79,114900,22081.32
2014-01-28,31344.45,31344.45,30059.84,30059.84,149400,21559.23
2014-01-29,30145.42,31001.87,30102.63,30916.29,153500,22173.48
2014-01-30,30916.29,30916.29,30916.29,30916.29,0,22173.48
2014-01-31,30916.29,30916.29,30916.29,30916.29,0,22173.48
2014-02-03,30530.79,30659.29,29802.84,30273.92,148600,21712.76
2014-02-04,29717.26,29760.05,28946.53,29503.19,242200,21159.99
2014-02-05,29717.26,29717.26,29074.89,29331.89,149900,21037.13
2014-02-06,29246.18,29545.97,28946.53,29246.18,111700,20975.66
2014-02-07,29503.19,29631.69,28775.24,29460.4,158300,21129.3
2014-02-10,29717.26,29717.26,28646.74,28818.02,175600,20668.58
2014-02-11,28818.02,28860.81,28261.37,28603.95,158800,20515.04
2014-02-12,28818.02,29246.18,28646.74,29032.1,140400,20822.12
2014-02-13,29032.1,29374.68,28689.52,29032.1,118900,20822.12
2014-02-14,28989.31,29203.39,28775.24,28989.31,109400,20791.43
2014-02-17,29331.89,29331.89,28903.74,29203.39,92300,20944.97
2014-02-18,29374.68,29503.19,28775.24,28946.53,135100,20760.74
2014-02-19,29074.89,29117.82,28732.45,28989.31,92000,20791.43
2014-02-20,28860.81,28860.81,28389.87,28689.52,150800,20576.42
2014-02-21,28689.52,29160.6,28603.95,29117.82,104100,20883.59
2014-02-24,29117.82,29160.6,28860.81,29160.6,72200,20914.28
2014-02-25,29374.68,30787.79,29246.18,29974.13,290600,21497.75
2014-02-26,29931.34,30231.13,29631.69,29802.84,135400,21374.9
2014-02-27,29760.05,30402.42,29289.11,30402.42,136000,21804.93
2014-02-28,30830.58,33185.72,30659.29,32500.56,811900,23309.73
2014-03-03,32372.06,32843.14,31772.61,32714.64,295400,23463.27
2014-03-04,32457.77,32843.14,32157.98,32457.77,204400,23279.04
2014-03-05,33100.0,33999.24,32971.64,33656.66,469900,24138.9
2014-03-06,33656.66,33785.16,33100.0,33142.93,250500,23770.45
2014-03-07,33228.51,33613.88,32500.56,32800.35,161400,23524.74
2014-03-10,32414.98,33571.09,32286.48,32586.27,213500,23371.2
2014-03-11,32885.93,33399.79,32457.77,32843.14,144800,23555.43
2014-03-12,32586.27,32843.14,31515.74,32115.19,212600,23033.34
2014-03-13,32115.19,32414.98,31515.74,31772.61,221100,22787.64
2014-03-14,31387.24,31729.82,31173.16,31344.45,156200,22480.56
2014-03-17,30916.29,31387.24,30916.29,31215.95,83100,22388.4
2014-03-18,31687.03,31901.11,31344.45,31515.74,107800,22603.41
2014-03-19,31729.82,32414.98,31729.82,31858.32,133600,22849.11
2014-03-20,31901.11,32200.9,31515.74,31772.61,105700,22787.64
2014-03-21,32629.06,33057.21,32200.9,32714.64,181700,23463.27
2014-03-24,32885.93,33571.09,32885.93,32885.93,219800,23586.12
2014-03-25,32971.64,33656.66,32800.35,33228.51,217900,23831.82
2014-03-26,33271.29,34941.27,33271.29,34855.69,428800,24998.86
2014-03-27,34855.69,34898.48,34170.53,34256.25,311500,24568.93
2014-03-28,34598.83,35540.85,34341.82,35241.06,307500,25275.25
2014-03-31,35241.06,35583.64,34727.19,35369.56,175700,25367.41
2014-04-01,34941.27,35283.85,34299.03,34341.82,287500,24630.31
2014-04-02,34427.54,34984.19,34299.03,34555.9,225400,24783.84
2014-04-03,34299.03,35412.35,34299.03,34384.61,328800,24660.99
2014-04-04,34127.74,34256.25,33485.51,33742.38,332800,24200.38
2014-04-07,33442.58,33999.24,33314.22,33699.59,160200,24169.69
2014-04-08,33699.59,34855.69,33656.66,34555.9,187500,24783.84
2014-04-09,34855.69,36825.46,34684.4,35969.01,636400,25797.34
