Date,Open,High,Low,Close,Volume,Adj Close
2014-12-18,106000.0,116000.0,99200.0,113000.0,12845100,112592.05
2014-12-19,118000.0,129500.0,117500.0,129500.0,4551800,129032.49
2014-12-22,135000.0,145500.0,130500.0,134500.0,4401700,134014.44
2014-12-23,132000.0,137500.0,127000.0,135000.0,2873000,134512.63
2014-12-24,135500.0,139000.0,132000.0,133000.0,1402000,132519.85
2014-12-25,133000.0,133000.0,133000.0,133000.0,0,132519.85
2014-12-26,134500.0,138000.0,130000.0,135500.0,1648300,135010.83
2014-12-29,140000.0,155000.0,138500.0,149000.0,4142000,148462.09
2014-12-30,153500.0,158000.0,148500.0,158000.0,2518600,157429.6
2014-12-31,158000.0,158000.0,158000.0,158000.0,0,157429.6
2015-01-01,158000.0,158000.0,158000.0,158000.0,0,157429.6
2015-01-02,160500.0,174000.0,158500.0,171000.0,3083000,170382.67
2015-01-05,177000.0,179500.0,145500.0,145500.0,6436900,144974.73
2015-01-06,143000.0,147500.0,133500.0,138500.0,4596700,138000.0
2015-01-07,139000.0,140500.0,135000.0,135500.0,1719200,135010.83
2015-01-08,138000.0,140500.0,133000.0,135000.0,1699100,134512.63
2015-01-09,137500.0,153500.0,134000.0,150000.0,2971000,149458.48
2015-01-12,149000.0,151500.0,142500.0,147500.0,1625700,146967.51
2015-01-13,147000.0,149500.0,137000.0,138000.0,2009400,137501.8
2015-01-14,138000.0,141000.0,135500.0,137000.0,889100,136505.41
2015-01-15,138000.0,144000.0,136500.0,140500.0,1167300,139992.78
2015-01-16,139500.0,142000.0,135500.0,136000.0,743000,135509.02
2015-01-19,137000.0,138000.0,129500.0,131000.0,1115000,130527.07
2015-01-20,132500.0,134500.0,131000.0,131500.0,620500,131025.27
2015-01-21,132500.0,133000.0,122000.0,124000.0,1413000,123552.34
2015-01-22,123000.0,130000.0,122500.0,124000.0,876300,123552.34
2015-01-23,128500.0,132500.0,126500.0,131000.0,1028400,130527.07
2015-01-26,130500.0,134000.0,129000.0,129500.0,492600,129032.49
2015-01-27,131000.0,135000.0,130500.0,135000.0,743500,134512.63
2015-01-28,137000.0,143000.0,137000.0,140000.0,1457100,139494.58
2015-01-29,140500.0,142000.0,136500.0,137500.0,538300,137003.61
2015-01-30,144000.0,146000.0,135500.0,136000.0,919000,135509.02
2015-02-02,135500.0,137000.0,134000.0,135000.0,339000,134512.63
2015-02-03,136500.0,139000.0,132500.0,138500.0,437400,138000.0
2015-02-04,139500.0,140500.0,137500.0,137500.0,321200,137003.61
2015-02-05,137500.0,138500.0,134000.0,136000.0,270100,135509.02
2015-02-06,138500.0,141500.0,136500.0,138500.0,500300,138000.0
2015-02-09,139000.0,141000.0,138500.0,138500.0,346900,138000.0
2015-02-10,138500.0,139000.0,136500.0,136500.0,205200,136007.22
2015-02-11,137000.0,140000.0,136500.0,140000.0,299200,139494.58
2015-02-12,141000.0,142500.0,139000.0,139000.0,262800,138498.19
2015-02-13,140500.0,150000.0,139500.0,147500.0,1408500,146967.51
2015-02-16,150000.0,153500.0,148000.0,151500.0,878700,150953.06
2015-02-17,150500.0,151000.0,147000.0,147000.0,437900,146469.31
2015-02-18,147000.0,147000.0,147000.0,147000.0,0,146469.31
2015-02-19,147000.0,147000.0,147000.0,147000.0,0,146469.31
2015-02-20,147000.0,147000.0,147000.0,147000.0,0,146469.31
2015-02-23,149000.0,150000.0,146500.0,149000.0,285600,148462.09
2015-02-24,149500.0,156000.0,149000.0,155000.0,801900,154440.43
2015-02-25,156500.0,160000.0,156000.0,156000.0,700500,155436.82
2015-02-26,157000.0,159000.0,154000.0,158000.0,372000,157429.6
2015-02-27,157500.0,162000.0,156000.0,162000.0,456700,161415.16
2015-03-02,162500.0,163500.0,155000.0,159000.0,561500,158425.99
2015-03-03,159000.0,160000.0,152000.0,155000.0,593700,154440.43
2015-03-04,154000.0,157000.0,153500.0,155500.0,326400,154938.62
2015-03-05,155500.0,156500.0,153000.0,155000.0,252800,154440.43
2015-03-06,155000.0,159000.0,154000.0,159000.0,373900,158425.99
2015-03-09,158000.0,166000.0,157000.0,164500.0,739300,163906.13
2015-03-10,165000.0,166500.0,160000.0,165000.0,708800,164404.33
